,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-30.625732421875,-26.893463134765625
1,kiwis and narwhals,-29.6416015625,-30.662841796875
2,kiwis and ocelots,-33.4248046875,-31.037498474121094
3,ibex and kiwis,-29.768798828125,-33.87841796875
4,harpies and kiwis,-33.0677490234375,-34.53173828125
5,axolotls and wolverines,-29.9805908203125,-28.026134490966797
6,axolotls and ibex,-31.9708251953125,-30.281936645507812
7,axolotls and harpies,-30.2437744140625,-32.691383361816406
8,axolotls and keas,-32.1602783203125,-34.192352294921875
9,axolotls and bonobos,-30.270408630371094,-29.722997665405273
10,axolotls and wombats,-29.257080078125,-28.699277877807617
11,axolotls and lions,-28.6251220703125,-27.149391174316406
12,ocelots and platypuses,-31.034423828125,-28.751235961914062
13,ibex and platypuses,-32.5810546875,-31.701171875
14,harpies and platypuses,-31.2587890625,-31.90606689453125
15,keas and platypuses,-33.77734375,-29.580322265625
16,bonobos and platypuses,-27.4971923828125,-30.088661193847656
17,harpies and wolverines,-30.1885986328125,-30.07421875
18,keas and wolverines,-33.1708984375,-29.1767578125
19,bonobos and wolverines,-27.96722412109375,-26.964092254638672
20,capybaras and ibex,-27.27349853515625,-28.183055877685547
21,capybaras and harpies,-30.08502197265625,-31.848934173583984
22,capybaras and keas,-28.96978759765625,-32.057390213012695
23,ibex and narwhals,-29.0443115234375,-29.1871337890625
24,harpies and narwhals,-29.505126953125,-31.68505859375
25,keas and narwhals,-33.54052734375,-32.03857421875
26,ibex and ocelots,-28.861328125,-28.88037109375
27,keas and ocelots,-33.32452392578125,-35.20947265625
28,bonobos and ocelots,-28.59405517578125,-34.13260269165039
29,harpies and ibex,-30.6611328125,-32.412109375
30,ibex and keas,-29.435546875,-32.9091796875
31,bonobos and ibex,-30.3861083984375,-27.81729507446289
32,ibex and koalas,-28.490966796875,-29.599456787109375
33,ibex and sloths,-27.4423828125,-30.2421875
34,aardvarks and ibex,-28.629100799560547,-29.66156005859375
35,harpies and keas,-31.576171875,-36.0771484375
36,bonobos and harpies,-31.7298583984375,-33.107765197753906
37,harpies and koalas,-31.092056274414062,-29.782318115234375
38,harpies and wombats,-31.88525390625,-29.92822265625
39,aardvarks and harpies,-33.09540939331055,-32.336883544921875
40,bonobos and keas,-31.5931396484375,-32.58432388305664
41,keas and koalas,-30.55988311767578,-28.727386474609375
42,keas and sloths,-30.7548828125,-29.4443359375
43,keas and wombats,-33.0608024597168,-26.35302734375
44,keas and lions,-30.99609375,-29.9775390625
45,aardvarks and keas,-31.011425018310547,-33.55535316467285
46,bonobos and wombats,-28.613502502441406,-27.500823974609375
47,aardvarks and bonobos,-26.94683074951172,-28.682295322418213
48,ocarinas and vibraphones,-31.0665283203125,-29.17327880859375
49,cymbals and ocarinas,-28.811279296875,-28.782958984375
50,clarinets and ocarinas,-27.475830078125,-25.892179489135742
51,cellos and ocarinas,-28.1173095703125,-28.768798828125
52,didgeridoos and vibraphones,-34.362091064453125,-28.590192794799805
53,lutes and marimbas,-28.0986328125,-29.2728271484375
54,kalimbas and lutes,-27.254150390625,-29.386585235595703
55,clarinets and kalimbas,-30.091384887695312,-28.517641067504883
56,kalimbas and trumpets,-29.673583984375,-28.060047149658203
