,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-31.5234375,-31.68115234375
1,kiwis and narwhals,-32.237548828125,-29.37890625
2,kiwis and ocelots,-32.7822265625,-33.368896484375
3,ibex and kiwis,-36.1689453125,-30.732421875
4,harpies and kiwis,-29.68505859375,-35.763671875
5,axolotls and wolverines,-34.60009765625,-33.4351806640625
6,axolotls and ibex,-34.326171875,-35.45263671875
7,axolotls and harpies,-39.630859375,-36.16070556640625
8,axolotls and keas,-39.640625,-38.75341796875
9,axolotls and bonobos,-37.0968017578125,-35.459228515625
10,axolotls and wombats,-36.1318359375,-37.6385498046875
11,axolotls and lions,-34.3515625,-32.6337890625
12,ocelots and platypuses,-37.8125,-38.7275390625
13,ibex and platypuses,-41.0693359375,-38.37109375
14,harpies and platypuses,-32.8330078125,-41.52734375
15,keas and platypuses,-40.30078125,-41.96875
16,bonobos and platypuses,-35.09326171875,-38.455078125
17,harpies and wolverines,-30.8583984375,-33.00390625
18,keas and wolverines,-37.32861328125,-35.9453125
19,bonobos and wolverines,-33.95263671875,-33.568359375
20,capybaras and ibex,-43.216796875,-45.501953125
21,capybaras and harpies,-47.798828125,-36.685546875
22,capybaras and keas,-45.39453125,-42.14453125
23,ibex and narwhals,-36.15625,-31.17236328125
24,harpies and narwhals,-30.9610595703125,-32.01220703125
25,keas and narwhals,-36.958984375,-35.17431640625
26,ibex and ocelots,-37.927734375,-35.810546875
27,keas and ocelots,-37.96044921875,-39.3515625
28,bonobos and ocelots,-34.20458984375,-35.890380859375
29,harpies and ibex,-30.3837890625,-38.880859375
30,ibex and keas,-36.8359375,-34.001953125
31,bonobos and ibex,-33.5859375,-36.84326171875
32,ibex and koalas,-37.837890625,-30.431640625
33,ibex and sloths,-37.5,-32.400390625
34,aardvarks and ibex,-38.13818359375,-41.494140625
35,harpies and keas,-36.1171875,-39.22265625
36,bonobos and harpies,-36.599609375,-33.42041015625
37,harpies and koalas,-29.4560546875,-35.6884765625
38,harpies and wombats,-32.83984375,-37.916015625
39,aardvarks and harpies,-39.86474609375,-38.2801513671875
40,bonobos and keas,-38.21484375,-39.335693359375
41,keas and koalas,-33.37646484375,-35.99609375
42,keas and sloths,-33.560546875,-37.61328125
43,keas and wombats,-37.068359375,-40.87890625
44,keas and lions,-32.625,-33.203125
45,aardvarks and keas,-39.37841796875,-41.972412109375
46,bonobos and wombats,-36.640625,-37.7391357421875
47,aardvarks and bonobos,-38.98779296875,-41.65673828125
48,ocarinas and vibraphones,-44.0869140625,-42.1171875
49,cymbals and ocarinas,-33.4931640625,-38.74169921875
50,clarinets and ocarinas,-43.033203125,-42.6533203125
51,cellos and ocarinas,-44.23046875,-39.931640625
52,didgeridoos and vibraphones,-55.375,-49.828125
53,lutes and marimbas,-33.49560546875,-37.30078125
54,kalimbas and lutes,-42.10546875,-38.7177734375
55,clarinets and kalimbas,-43.5537109375,-43.8876953125
56,kalimbas and trumpets,-42.24169921875,-39.8173828125
57,cellos and kalimbas,-47.818359375,-43.041015625
58,kalimbas and saxophones,-41.3670654296875,-38.6337890625
59,lutes and saxophones,-31.08538818359375,-27.7021484375
60,casserole and eagle,-33.4697265625,-33.168212890625
61,kite and linguist,-34.521484375,-31.4921875
62,algorithm and perfume,-31.00390625,-31.5859375
63,forest and screwdriver,-31.900390625,-33.158203125
64,slipper and volcano,-30.6220703125,-31.44921875
65,harmonica and microscope,-32.908203125,-31.0751953125
66,cookbook and zenith,-29.03515625,-34.6572265625
67,hammock and hydrogen,-32.80029296875,-34.681640625
68,neuron and toaster,-33.0625,-34.6640625
69,marshmallow and telescope,-30.568115234375,-30.2576904296875
70,casserole and optics,-34.9541015625,-32.3193359375
71,encyclopedia and comet,-29.47265625,-29.259765625
72,nimbus and waffle,-32.73828125,-34.2293701171875
73,photon and pumpkin,-29.484375,-30.96484375
74,lantern and syntax,-31.88671875,-31.55078125
75,echo and vineyard,-33.453125,-29.7568359375
76,nebula and snowman,-29.7197265625,-30.618896484375
77,botany and teapot,-32.148681640625,-31.589599609375
78,chisel and kaleidoscope,-32.715087890625,-36.6904296875
79,lava and teacup,-31.0576171875,-30.30078125
80,entropy and orchard,-32.82421875,-32.4609375
81,axolotl and vineyard,-36.345703125,-35.244873046875
82,clockwork and meadow,-31.3046875,-32.607421875
83,algebra and telescope,-30.93359375,-26.587890625
84,arcade and topaz,-31.123046875,-34.306640625
85,asteroid and compass,-27.515625,-28.3203125
86,bicycle and nebula,-31.4185791015625,-31.0458984375
87,bungalow and entropy,-36.018798828125,-35.305419921875
88,carnation and gnome,-32.38671875,-35.123046875
89,cinnamon and harmonica,-31.97265625,-30.126953125
