binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
men and women,-22.797119140625,-24.81396484375,0.8825544539831575,2.016845703125
black and white,-34.615272521972656,-39.012733459472656,0.9878411059402619,4.3974609375
day and night,-32.303565979003906,-31.369596481323242,0.2821200838751678,-0.9339694976806641
boys and girls,-9.998291015625,-12.01416015625,0.8824531934175545,2.015869140625
left and right,-16.0445556640625,-17.3291015625,0.7832225952886982,1.2845458984375
female and male,-32.98480224609375,-31.1090087890625,0.1328727933381333,-1.87579345703125
father and mother,-39.15350341796875,-37.5308837890625,0.16484390813403624,-1.62261962890625
goods and services,-48.48286533355713,-51.05195713043213,0.9288456949002344,2.569091796875
north and south,-34.311309814453125,-35.094696044921875,0.6864094648525473,0.78338623046875
development and research,-48.67498779296875,-43.59869384765625,0.006204269830629423,-5.0762939453125
place and time,-44.894683837890625,-39.90724182128906,0.0067768564148232265,-4.9874420166015625
death and life,-34.27219772338867,-31.194149017333984,0.04402186050078648,-3.0780487060546875
brothers and sisters,-36.4134521484375,-38.8079833984375,0.9164093322460585,2.39453125
husband and wife,-40.18229866027832,-43.075531005859375,0.9475108718369747,2.8932323455810547
gas and oil,-49.83104705810547,-48.48387908935547,0.20633375993672942,-1.34716796875
pepper and salt,-38.94792938232422,-37.822553634643555,0.2450154995757625,-1.125375747680664
fall and rise,-65.05349731445312,-60.420074462890625,0.009627830832270892,-4.6334228515625
arms and legs,-30.90869140625,-33.5911865234375,0.9359857847521307,2.6824951171875
fruits and vegetables,-45.05780029296875,-46.165985107421875,0.7517905498906364,1.108184814453125
arts and sciences,-51.52760887145996,-53.23561668395996,0.8465777097883295,1.7080078125
gentlemen and ladies,-56.560546875,-53.9384765625,0.06773144892184521,-2.6220703125
feelings and thoughts,-49.72705364227295,-47.51386022567749,0.09857195649181444,-2.213193416595459
diagnosis and treatment,-44.412841796875,-49.41845703125,0.9933443762536474,5.005615234375
groups and individuals,-36.3701171875,-36.44482421875,0.5186680761903218,0.07470703125
knowledge and skills,-50.026710510253906,-50.511085510253906,0.6187804337438502,0.484375
heart and mind,-39.8203763961792,-43.359164237976074,0.9717714795131579,3.538787841796875
influence and power,-33.60249328613281,-33.41557312011719,0.45340554378050224,-0.186920166015625
Africa and Asia,-43.922607421875,-43.373779296875,0.366136335659176,-0.548828125
addresses and names,-55.045806884765625,-52.044586181640625,0.04737075634447165,-3.001220703125
poetry and prose,-35.2095947265625,-33.98834228515625,0.22771611925502327,-1.22125244140625
forefinger and thumb,-54.40736961364746,-52.284668922424316,0.10690993406366393,-2.1227006912231445
minerals and vitamins,-26.0994873046875,-24.8658447265625,0.22554452531687744,-1.233642578125
fall and winter,-55.85493469238281,-60.335289001464844,0.9887975190344541,4.480354309082031
light and shadow,-33.365570068359375,-37.2789306640625,0.9804178533474662,3.913360595703125
honey and milk,-48.37872314453125,-45.940185546875,0.0802808235836476,-2.43853759765625
nose and throat,-36.816566467285156,-38.47149658203125,0.8395562567561404,1.6549301147460938
anger and fear,-39.889366149902344,-39.54395294189453,0.41449514632362894,-0.3454132080078125
head and tail,-32.88623046875,-35.0048828125,0.8927029133372727,2.11865234375
novels and stories,-35.31005859375,-35.37255859375,0.5156199157230157,0.0625
sunrise and sunset,-29.80419921875,-31.976806640625,0.8977625370103377,2.172607421875
sympathy and understanding,-47.095497131347656,-47.986083984375,0.7090112635822006,0.8905868530273438
shoes and socks,-43.60595703125,-43.92767333984375,0.5797424726639036,0.32171630859375
equipment and personnel,-59.934539794921875,-61.45855712890625,0.8211292918515749,1.524017333984375
eyes and face,-66.126953125,-64.40869140625,0.15209520077467564,-1.71826171875
ink and paper,-34.032928466796875,-36.94911193847656,0.9486406699791429,2.9161834716796875
muscles and nerves,-36.249755859375,-36.14697265625,0.4743267970441446,-0.102783203125
charts and maps,-77.2227783203125,-77.40618896484375,0.545724553814415,0.18341064453125
elbows and knees,-29.43408203125,-29.2701416015625,0.4591064411012724,-0.1639404296875
Christmas and Easter,-25.01220703125,-26.364501953125,0.7945045665902736,1.352294921875
nature and size,-43.64759826660156,-45.04389190673828,0.8015950864379398,1.3962936401367188
gums and teeth,-28.31683349609375,-27.08111572265625,0.22518224871574266,-1.2357177734375
chairs and sofas,-31.673095703125,-31.34442138671875,0.4185632173155377,-0.32867431640625
characters and situations,-33.3720703125,-36.599609375,0.9618575696224517,3.2275390625
joy and pleasure,-38.38819122314453,-38.4196891784668,0.507873837857882,0.031497955322265625
Thursday and Tuesday,-58.1956787109375,-52.6400146484375,0.003850616123791712,-5.5556640625
barley and oats,-37.77685546875,-37.7373046875,0.4901135933999752,-0.03955078125
beauty and dignity,-39.95709228515625,-40.38360595703125,0.6050408589120233,0.426513671875
boats and ships,-35.061767578125,-34.8115234375,0.4377634086978682,-0.250244140625
misery and pain,-43.828121185302734,-43.68000411987305,0.4630382831744969,-0.1481170654296875
bones and skulls,-28.486934661865234,-28.046714782714844,0.39168857770076526,-0.4402198791503906
dairy and poultry,-43.188934326171875,-44.223388671875,0.7377785518662272,1.034454345703125
being and existence,-48.69970703125,-46.973388671875,0.15105910798114977,-1.726318359375
radar and radio,-32.169921875,-32.3916015625,0.555194078367336,0.2216796875
humility and pride,-39.552734375,-37.9404296875,0.16626888385344782,-1.6123046875
pitch and volume,-38.2947998046875,-38.893882751464844,0.6454464708868292,0.5990829467773438
