binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
20s and 30s,-19.855948321521282,-22.266292184591293,0.9176126815325532,2.410343863070011
a.b. and m.a.,-29.806651145219803,-33.475513726472855,0.9751288854654192,3.6688625812530518
abasement and humiliation,-32.57110834121704,-28.54559675976634,0.017541103973714844,-4.025511581450701
ability and age,-25.045347690582275,-21.199400901794434,0.020919199712979113,-3.845946788787842
ability and desire,-26.322630405426025,-23.18869638442993,0.04172901068601595,-3.1339340209960938
ability and strength,-23.3177170753479,-22.69499921798706,0.3491635698460076,-0.6227178573608398
abolition and emancipation,-23.19231939315796,-24.78610920906067,0.8311486357189138,1.59378981590271
action and character,-22.997212409973145,-21.658023834228516,0.20764352865116872,-1.339188575744629
action and conversation,-25.567051887512207,-24.313747882843018,0.22212872385106494,-1.2533040046691895
action and mind,-26.272679328918457,-23.30553388595581,0.0489323975039796,-2.9671454429626465
action and motion,-24.27775287628174,-22.662336826324463,0.16583802350388768,-1.6154160499572754
actions and feelings,-25.913638591766357,-22.293583869934082,0.026082685045632534,-3.6200547218322754
activities and character,-24.39857292175293,-26.463787078857422,0.8874759211685953,2.065214157104492
activities and places,-24.8919734954834,-24.012357234954834,0.29325730546367285,-0.8796162605285645
activity and nature,-27.23707866668701,-25.139493942260742,0.10933179492562499,-2.0975847244262695
addresses and names,-21.619717359542847,-18.159356594085693,0.030461376799734916,-3.4603607654571533
adventure and romance,-23.041726112365723,-23.463937759399414,0.6040123562635683,0.4222116470336914
africa and asia,-31.279815912246704,-31.233667850494385,0.48846503160356863,-0.046148061752319336
age and day,-22.269415855407715,-20.479430675506592,0.14307454047707843,-1.789985179901123
agencies and individuals,-21.6729793548584,-22.12150526046753,0.6102886976936178,0.44852590560913086
aggression and hostility,-23.892958164215088,-22.41420030593872,0.18561511077623916,-1.4787578582763672
agreements and contracts,-21.84915041923523,-22.56872248649597,0.6725127764015038,0.7195720672607422
aims and ends,-22.639179706573486,-28.866146087646484,0.9980284591172786,6.226966381072998
aircraft and ships,-21.506979942321777,-20.43336296081543,0.2547158430571989,-1.0736169815063477
alibis and excuses,-36.60825967788696,-29.773201247677207,0.0010742492248808524,-6.835058430209756
aloes and myrrh,-37.5106121301651,-37.73071241378784,0.5548040049492623,0.2201002836227417
ammo and weapons,-21.238394737243652,-19.239667177200317,0.11933658480249705,-1.998727560043335
ammunition and baggage,-24.819161415100098,-29.701018810272217,0.9924741514143433,4.881857395172119
ammunition and guns,-23.14028263092041,-19.579455137252808,0.02763018156123208,-3.5608274936676025
anger and anxiety,-21.3849196434021,-21.787139654159546,0.5992209245019255,0.4022200107574463
anger and fear,-19.633660793304443,-20.725947856903076,0.7488121458986877,1.0922870635986328
anger and hatred,-19.348405361175537,-21.610370635986328,0.9056776498189698,2.261965274810791
anger and indignation,-21.944024562835693,-22.9105327129364,0.7244229512007423,0.966508150100708
anger and spite,-23.65091848373413,-23.661227226257324,0.5025771628078775,0.01030874252319336
anguish and pain,-21.134093523025513,-21.822017669677734,0.6655049838543963,0.6879241466522217
anguish and rage,-23.378127336502075,-25.633922576904297,0.9051492497204804,2.2557952404022217
anthropology and psychology,-23.643731832504272,-24.189536571502686,0.6331617117867153,0.5458047389984131
anxiety and dismay,-27.64488911628723,-26.054526805877686,0.16933292850416873,-1.590362310409546
apprehension and fear,-24.75570583343506,-23.82155179977417,0.2820827116117468,-0.9341540336608887
apprehension and terror,-25.60488796234131,-27.889299392700195,0.9075777452594335,2.2844114303588867
archaeologists and geologists,-23.951744705438614,-25.607392072677612,0.839652848248834,1.6556473672389984
arches and piers,-27.494457483291626,-29.651554107666016,0.8963300699678726,2.1570966243743896
argument and debate,-27.69660758972168,-23.79695177078247,0.019847000015142786,-3.899655818939209
arizona and california,-28.532214812003076,-35.001883007586,0.9984526581192287,6.469668195582926
arm and back,-22.523460388183594,-25.28220796585083,0.9404054832082399,2.7587475776672363
arms and faces,-24.261552333831787,-22.913840293884277,0.2062446769970108,-1.3477120399475098
arms and hands,-19.968247890472412,-19.934837341308594,0.4916481396019035,-0.03341054916381836
arms and legs,-17.338181853294373,-20.778992652893066,0.9689559142520904,3.440810799598694
arrangers and composers,-35.296985728666186,-32.934599697589874,0.08608628696512811,-2.362386031076312
arsenic and strychnine,-25.000990085536614,-27.383403584361076,0.9154763766790328,2.3824134988244623
artillery and mortar,-21.357107877731323,-29.983736038208008,0.9998207640408224,8.626628160476685
artist and critic,-24.38943338394165,-26.366403579711914,0.8783578124864716,1.9769701957702637
arts and crafts,-16.744143024086952,-23.299751043319702,0.99857990161834,6.55560801923275
arts and sciences,-20.358110904693604,-23.299691915512085,0.9498640717806467,2.9415810108184814
ash and maple,-23.04063320159912,-26.099170684814453,0.9551496862289743,3.058537483215332
associations and enterprises,-29.773293495178223,-26.237818717956543,0.028319545574466237,-3.5354747772216797
assurance and dignity,-28.577877044677734,-27.249455451965332,0.2094205721422276,-1.3284215927124023
astronomy and geology,-23.69307589530945,-25.240529537200928,0.8245456542888607,1.5474536418914795
attention and civility,-25.682900331914425,-29.962677240371704,0.9863433361500372,4.279776908457279
attitude and experience,-24.11302423477173,-24.741859436035156,0.6522253007252791,0.6288352012634277
attractions and repulsions,-33.445677638053894,-35.8593955039978,0.9178673958221317,2.4137178659439087
aunt and uncle,-18.44571854174137,-22.45076084136963,0.9821026345737353,4.005042299628258
aunts and uncles,-20.73043427988887,-29.953102588653564,0.9999012349814002,9.222668308764696
authority and force,-26.503265380859375,-29.504968643188477,0.9526510152368955,3.0017032623291016
authority and independence,-27.777076721191406,-24.895870208740234,0.05309045006522899,-2.881206512451172
