binom,Alpha Probs,Nonalpha Probs,ProbAandB
men and women,-43.280758023262024,-45.80634182691574,0.9259159911117794
black and white,-55.05258917249739,-56.454753095284104,0.8025270458987973
day and night,-43.21950227767229,-43.07775995135307,0.4646236271564195
boys and girls,-41.42632335424423,-43.34630310535431,0.8721361756497216
left and right,-36.855368196964264,-40.90330129861832,0.9828411443877515
female and male,-64.85843654861674,-63.24003991764039,0.16542611308966038
father and mother,-64.2272447347641,-63.76874576508999,0.3873419703255917
goods and services,-67.84156162955333,-73.58596723456867,0.9968095749620044
north and south,-57.819280713796616,-57.98816876113415,0.5421219384550315
development and research,-65.41680579259992,-60.99936853721738,0.011921280905608846
place and time,-64.2748687909916,-61.34411987289786,0.050654298505982465
death and life,-46.49982670787722,-42.39064027182758,0.016155831738914477
brothers and sisters,-57.32518273591995,-61.0678254365921,0.9768568820968478
husband and wife,-57.823474741366226,-61.63899942697026,0.9784485411497834
gas and oil,-64.74292719626101,-65.3264828499523,0.641885151170906
pepper and salt,-62.46134836226702,-56.47559158504009,0.0025080043246699917
fall and rise,-78.90764661040157,-73.33044911827892,0.0037688946869734313
arms and legs,-60.98497512936592,-65.78105717897415,0.9918056481409017
fruits and vegetables,-56.663449825719,-57.209028501063585,0.6331092028628931
arts and sciences,-90.45261015859433,-93.01389312767424,0.9283278673129637
gentlemen and ladies,-84.6292736530304,-79.11493110656738,0.0040124107709146204
feelings and thoughts,-69.62446831501438,-68.90966237703105,0.32853777456776684
diagnosis and treatment,-63.78146409988403,-68.48769694566727,0.9910422034643275
groups and individuals,-54.34443151950836,-51.69395411014557,0.0659595907190431
knowledge and skills,-69.33174264431,-69.10941511392593,0.4446459402173914
heart and mind,-53.438239209353924,-53.61632325872779,0.5444037229494662
influence and power,-60.38547213468701,-56.62878731638193,0.022827777260112755
Africa and Asia,-68.8390892893076,-67.63244320452213,0.2302950255239373
addresses and names,-78.31631407141685,-70.72895854897797,5.065628203647846e-4
poetry and prose,-63.794106133282185,-63.54206831753254,0.4373219869211546
forefinger and thumb,-67.94271451234818,-66.1805738278199,0.14652243685266114
minerals and vitamins,-42.423577565699816,-40.087707445025444,0.08819546309522343
fall and winter,-84.12393274903297,-85.64888252876699,0.8212662047263912
light and shadow,-56.948086977005005,-60.36104118824005,0.9681069426589444
honey and milk,-59.470887154340744,-57.83589344471693,0.16314742096594875
nose and throat,-66.70140668004751,-71.19276525452733,0.9889187597613815
anger and fear,-65.47920085676014,-66.68612022325397,0.7697534126099143
head and tail,-48.401147961616516,-51.386466443538666,0.9519064404433989
novels and stories,-51.0708604156971,-52.803237080574036,0.8497161693542885
sunrise and sunset,-46.16788151860237,-52.854312390089035,0.9987538267481546
sympathy and understanding,-74.14375297818333,-75.52725519798696,0.7995528831558533
shoes and socks,-55.014116659760475,-56.03625662624836,0.7353892293421662
equipment and personnel,-75.25239166989923,-76.79636016488075,0.8240408872474942
eyes and face,-84.2827742099762,-83.492968916893,0.31221047829671406
ink and paper,-51.62774532288313,-51.88635613769293,0.5642947687020855
muscles and nerves,-60.89483703672886,-62.29787561297417,0.8026656220160567
charts and maps,-97.15611096844077,-95.09526105970144,0.11296064074447568
elbows and knees,-51.37514612078667,-50.84796977043152,0.37117569991694516
Christmas and Easter,-48.53575223684311,-51.36020541191101,0.9439830123554305
nature and size,-60.59692146256566,-60.639198238030076,0.5105676199313929
gums and teeth,-54.705589674413204,-49.14496849325951,0.0038316483527178185
chairs and sofas,-57.812714487314224,-54.03191627305932,0.02229603185480843
characters and situations,-57.17191284894943,-61.24932372570038,0.9833312589113985
joy and pleasure,-65.61637301882729,-67.96380721498281,0.9127300676134363
