WordA,WordB,Sentence,reading_times_alpha,reading_times_nonalpha,rt_AandB
men,women,The guard instructed the X and Y to form an orderly line.,-19.737639367580414,-21.99107438325882,0.9049464209258451
black,white,Dalmatians found in colors other than X and Y are highly unusual.,-16.847936689853668,-18.24986696243286,0.80249001500717565
day,night,It is harder to tell the difference between X and Y if you can't see.,-19.229784585535526,-18.998561084270477,0.44245030106618477
boys,girls,The teacher separated the X and Y into two groups.,-17.628484904766083,-19.59113645553589,0.8768196246628895
left,right,You should look X and Y before crossing the street.,-24.164298951625824,-28.151372611522675,0.9817840476391884
female,male,The dog breeder has X and Y puppies coming up for sale soon.,-29.621590696275234,-28.04958734009415,0.17193098498416545
father,mother,"Because Stephanie was grounded, her X and Y would not permit her to go out with her friends.",-22.517563819885254,-21.920058727264404,0.354914696469571
goods,services,The village people would not trade X and Y for money because they don't use currency.,-17.846585631370544,-23.19224226474762,0.9952538148854229
north,south,The family moved X and Y a couple of times before deciding on their current home.,-23.91636362671852,-23.96493737399578,0.5121410497714151
development,research,"The scientist had a lot of X and Y to do, because he had been sick for a long time.",-25.69845312833786,-21.47765851020813,0.014474384493564463
place,time,Finding a X and Y for the meeting was very difficult due to the boss's busy schedule.,-24.8026065826416,-21.988142520189285,0.05654755141366728
death,life,It is hard to tell the difference between X and Y when you are in purgatory.,-17.570666402578354,-13.606902189552784,0.018637536929480964
brothers,sisters,When we were younger my X and Y wanted a Beagle puppy.,-26.601681172847748,-30.42516601085663,0.9786157590951697
husband,wife,Because the X and Y didn't love each other anymore they pondered going their separate ways.,-23.034990270389244,-26.680634763091803,0.974559532504799
gas,oil,"Sam had just bought a new car and didn't know the difference between X and Y, so she ruined her car.",-23.788962483406067,-24.594399333000183,0.6911362731408881
pepper,salt,The food is in need of X and Y because it's rather bland.,-36.170392751693726,-29.97595524787903,0.002036594609379032
fall,rise,I've gotten particularly ill due to the X and Y of the waves out at sea.,-27.333752870559692,-21.365102231502533,0.0025511652482893016
arms,legs,Sandra broke her X and Y because she got into a bike accident.,-22.574578166007996,-27.434478163719177,0.9923083608908184
fruits,vegetables,"Growing up, Paul ate his X and Y everyday in order to be healthy.",-23.62846951186657,-24.305831909179688,0.6631497578045127
arts,sciences,"Carol couldn't decide between X and Y when applying for college majors, so she chose an interdisciplinary route.",-31.243007600307465,-33.63742274045944,0.916400437422203
gentlemen,ladies,The hostess in the venue lead the X and Y to their respective tables at the wedding banquet.,-25.629678964614868,-20.512113094329834,0.005954913600049078
feelings,thoughts,"Whenever Pat was frustrated, her X and Y got muddled and she couldn't make any decisions.",-26.715705543756485,-25.944280043244362,0.31617082257866497
diagnosis,treatment,Marissa found that her X and Y at the hospital were completely different from what she anticipated.,-22.508134305477142,-27.570101618766785,0.9937067675146654
groups,individuals,Differentiating between X and Y became increasingly difficult as the crowd grew larger.,-25.393184304237366,-22.803659319877625,0.06981562475590358
knowledge,skills,"Although Cassie's X and Y were both strong, her exams were still difficult.",-26.93419575691223,-26.947680473327637,0.5033711280208603
heart,mind,It took a long time for Sarah's X and Y to recover after her husband died.,-17.327543146908283,-17.456744071096182,0.5322553739380457
influence,power,The employee used her X and Y in the company in order to get a raise.,-23.35836935043335,-19.605063796043396,0.02290327905870035
Africa,Asia,My colleague wanted to visit X and Y this year for a vacation with her husband.,-26.606292724609375,-25.58986783027649,0.2657243725284903
addresses,names,The company collected hundreds of X and Y for a petition they wanted to pass in June.,-32.105202317237854,-24.31154716014862,4.1217299125762805e-4
poetry,prose,The professor taught both X and Y in his Renaissance literature class.,-30.074512131512165,-30.08545596897602,0.5027359320596886
forefinger,thumb,The ability to use the X and Y are very important evolutionary traits that differentiate humans from apes.,-24.963318943977356,-26.358457221882418,0.8014112731324513
minerals,vitamins,The human body needs both X and Y in order to continue functioning properly.,-13.43874742463231,-11.078827783465385,0.08628052947031294
fall,winter,In the months during X and Y students tend to feel a bit sadder due to the cold and gloomy weather.,-28.187103303149343,-30.91826529428363,0.9388405915062359
light,shadow,It is important to consider both X and Y when creating a still life painting.,-20.921177804470062,-23.943920731544495,0.953591065261687
honey,milk,Jack's mother gave him X and Y in order to calm him after a nightmare.,-22.70267042517662,-21.27010142058134,0.19269871912690137
nose,throat,Springtime allergies make my X and Y a lot more irritated than the rest of the year.,-13.4619961977005,-18.24507713317871,0.9916993069784281
anger,fear,The abused dog showed both X and Y when animal control came to pick him up.,-20.894048869609833,-21.77776826918125,0.7075923787311078
head,tail,There were white spots on the X and Y of the tiny dog.,-21.68241512775421,-24.728707015514374,0.9546221664849928
novels,stories,The famous author had published many X and Y over the past twenty years.,-15.204337000846863,-16.726219654083252,0.8208155435712023
sunrise,sunset,Andrew loved to be outside at X and Y during the summer months.,-18.03999415040016,-24.75540652871132,0.9987893813032185
sympathy,understanding,Being a therapist requires a lot of X and Y because you often have to deal with people in rough patches.,-26.567824006080627,-27.806217312812805,0.7752842222336145
shoes,socks,"When it rains, your X and Y become more of a nuisance than something to protect your feet.",-23.10252320766449,-23.82792615890503,0.6737956723500005
equipment,personnel,The company had an appropriate amount of X and Y in order to make sure everyone at the event would be safe.,-19.294874642044306,-19.97724597901106,0.6642677495777484
eyes,face,The instructions in the lab ask you cover your X and Y when you operate any machinery.,-22.206058859825134,-22.07852816581726,0.4681604681905673
ink,paper,All you need is X and Y in order to write the next great novel.,-21.905079297721386,-22.15750326961279,0.5627730327860238
muscles,nerves,Allison felt like her X and Y were on fire after running a marathon.,-19.948485270142555,-21.455355614423752,0.818596928811762
charts,maps,Dr. Morganstern took out his X and Y in order to document where he found the last fossil.,-24.024111952632666,-22.347343049943447,0.1575237936192285
elbows,knees,I hurt my X and Y when I fell off my longboard.,-19.941736310720444,-18.954009532928467,0.271361315355268
Christmas,Easter,The child decided that X and Y were her favorite holidays.,-25.57809716463089,-28.42000412940979,0.9448988326694033
nature,size,Sometimes it is hard to figure out the X and Y of a problem just from reading about it in the news.,-19.929169479757547,-20.13131876848638,0.5503659247141462
gums,teeth,You should take care of your X and Y in order to have optimal dental hygiene.,-23.704293929040432,-17.130518181598745,0.0013945670256257248
chairs,sofas,The hoarder had many X and Y in their living room.,-31.66442659497261,-27.820493233622983,0.020960477704388872
characters,situations,Cheryl considered the X and Y in the novel she was writing.,-23.50536060333252,-27.462735772132874,0.9812452462116678
joy,pleasure,Tucking yourself into bed provides a great sense of X and Y at the end of a long day.,-21.47315526008606,-23.71414750814438,0.9038707077430492
Thursday,Tuesday,Don's manager scheduled him for work on X and Y every week for the next month.,-24.862540245056152,-24.13278567790985,0.32524858827855696
barley,oats,Susanne prepared X and Y for breakfast everyday for a week.,-36.81312334537506,-36.653170466423035,0.4600968206552813
beauty,dignity,The girl had both X and Y but was lacking intelligence.,-28.31101495027542,-28.249202743172646,0.48455186653109467
boats,ships,The pier was full of X and Y ready to take off on an adventure.,-21.67650669813156,-22.38649347424507,0.6703982378067727
misery,pain,The people experienced X and Y after they were shipwrecked for months.,-23.42532968521118,-22.15369153022766,0.21897695593961425
bones,skulls,Scientists study the X and Y of long-extinct animal species.,-30.8206220587017,-32.469167460803874,0.8386943604395867
dairy,poultry,You will often find X and Y close to each other in the refrigerated aisle of the grocery store.,-33.35044538974762,-30.91685163974762,0.08064661487644822
being,existence,The girl questioned her X and Y when she went to her last therapy session.,-36.28386980295181,-33.241852045059204,0.045563343388008035
radar,radio,The soldiers used X and Y to plan their next moves.,-24.769466757774353,-23.787601828575134,0.27252189771096547
humility,pride,It is hard to have both X and Y when one is rich and famous.,-20.5770356208086,-19.719979017972946,0.29795467228298245
pitch,volume,Musicians pride themselves on being able to adjust X and Y in order to produce art.,-21.128966636955738,-20.85978096909821,0.4331070233005247
skirt,sweater,Clarissa chose the X and Y she would wear for her first day of school.,-26.636881291866302,-27.843158423900604,0.7696395676889053
linen,silk,Betthany put her X and Y shirts into the wash and they all shrank.,-30.45927119255066,-30.68345594406128,0.5558126271304156
checks,money,Graham disliked handling X and Y so he decided not to run for treasurer of the club.,-31.182778120040894,-30.04563808441162,0.24284584079370786
calluses,corns,The grandmother had a lot of X and Y on her feet which made it difficult to walk.,-31.58307947218418,-35.46179918944836,0.9797416074666643
