Word1,Word2,Alpha,Nonalpha
kiwis,axolotls,kiwis and axolotls,axolotls and kiwis
kiwis,platypuses,kiwis and platypuses,platypuses and kiwis
kiwis,wolverines,kiwis and wolverines,wolverines and kiwis
kiwis,capybaras,kiwis and capybaras,capybaras and kiwis
kiwis,narwhals,kiwis and narwhals,narwhals and kiwis
kiwis,ocelots,kiwis and ocelots,ocelots and kiwis
kiwis,ibex,kiwis and ibex,ibex and kiwis
kiwis,harpies,kiwis and harpies,harpies and kiwis
kiwis,keas,kiwis and keas,keas and kiwis
kiwis,bonobos,kiwis and bonobos,bonobos and kiwis
kiwis,koalas,kiwis and koalas,koalas and kiwis
kiwis,sloths,kiwis and sloths,sloths and kiwis
kiwis,wombats,kiwis and wombats,wombats and kiwis
kiwis,lions,kiwis and lions,lions and kiwis
kiwis,aardvarks,kiwis and aardvarks,aardvarks and kiwis
kiwis,wolves,kiwis and wolves,wolves and kiwis
axolotls,platypuses,axolotls and platypuses,platypuses and axolotls
axolotls,wolverines,axolotls and wolverines,wolverines and axolotls
axolotls,capybaras,axolotls and capybaras,capybaras and axolotls
axolotls,narwhals,axolotls and narwhals,narwhals and axolotls
axolotls,ocelots,axolotls and ocelots,ocelots and axolotls
axolotls,ibex,axolotls and ibex,ibex and axolotls
axolotls,harpies,axolotls and harpies,harpies and axolotls
axolotls,keas,axolotls and keas,keas and axolotls
axolotls,bonobos,axolotls and bonobos,bonobos and axolotls
axolotls,koalas,axolotls and koalas,koalas and axolotls
axolotls,sloths,axolotls and sloths,sloths and axolotls
axolotls,wombats,axolotls and wombats,wombats and axolotls
axolotls,lions,axolotls and lions,lions and axolotls
axolotls,aardvarks,axolotls and aardvarks,aardvarks and axolotls
axolotls,wolves,axolotls and wolves,wolves and axolotls
platypuses,wolverines,platypuses and wolverines,wolverines and platypuses
platypuses,capybaras,platypuses and capybaras,capybaras and platypuses
platypuses,narwhals,platypuses and narwhals,narwhals and platypuses
platypuses,ocelots,platypuses and ocelots,ocelots and platypuses
platypuses,ibex,platypuses and ibex,ibex and platypuses
platypuses,harpies,platypuses and harpies,harpies and platypuses
platypuses,keas,platypuses and keas,keas and platypuses
platypuses,bonobos,platypuses and bonobos,bonobos and platypuses
platypuses,koalas,platypuses and koalas,koalas and platypuses
platypuses,sloths,platypuses and sloths,sloths and platypuses
platypuses,wombats,platypuses and wombats,wombats and platypuses
platypuses,lions,platypuses and lions,lions and platypuses
platypuses,aardvarks,platypuses and aardvarks,aardvarks and platypuses
platypuses,wolves,platypuses and wolves,wolves and platypuses
wolverines,capybaras,wolverines and capybaras,capybaras and wolverines
wolverines,narwhals,wolverines and narwhals,narwhals and wolverines
wolverines,ocelots,wolverines and ocelots,ocelots and wolverines
wolverines,ibex,wolverines and ibex,ibex and wolverines
wolverines,harpies,wolverines and harpies,harpies and wolverines
wolverines,keas,wolverines and keas,keas and wolverines
wolverines,bonobos,wolverines and bonobos,bonobos and wolverines
wolverines,koalas,wolverines and koalas,koalas and wolverines
wolverines,sloths,wolverines and sloths,sloths and wolverines
wolverines,wombats,wolverines and wombats,wombats and wolverines
wolverines,lions,wolverines and lions,lions and wolverines
wolverines,aardvarks,wolverines and aardvarks,aardvarks and wolverines
wolverines,wolves,wolverines and wolves,wolves and wolverines
capybaras,narwhals,capybaras and narwhals,narwhals and capybaras
capybaras,ocelots,capybaras and ocelots,ocelots and capybaras
capybaras,ibex,capybaras and ibex,ibex and capybaras
capybaras,harpies,capybaras and harpies,harpies and capybaras
capybaras,keas,capybaras and keas,keas and capybaras
capybaras,bonobos,capybaras and bonobos,bonobos and capybaras
capybaras,koalas,capybaras and koalas,koalas and capybaras
capybaras,sloths,capybaras and sloths,sloths and capybaras
capybaras,wombats,capybaras and wombats,wombats and capybaras
capybaras,lions,capybaras and lions,lions and capybaras
capybaras,aardvarks,capybaras and aardvarks,aardvarks and capybaras
capybaras,wolves,capybaras and wolves,wolves and capybaras
narwhals,ocelots,narwhals and ocelots,ocelots and narwhals
narwhals,ibex,narwhals and ibex,ibex and narwhals
narwhals,harpies,narwhals and harpies,harpies and narwhals
narwhals,keas,narwhals and keas,keas and narwhals
narwhals,bonobos,narwhals and bonobos,bonobos and narwhals
narwhals,koalas,narwhals and koalas,koalas and narwhals
narwhals,sloths,narwhals and sloths,sloths and narwhals
narwhals,wombats,narwhals and wombats,wombats and narwhals
narwhals,lions,narwhals and lions,lions and narwhals
narwhals,aardvarks,narwhals and aardvarks,aardvarks and narwhals
narwhals,wolves,narwhals and wolves,wolves and narwhals
ocelots,ibex,ocelots and ibex,ibex and ocelots
ocelots,harpies,ocelots and harpies,harpies and ocelots
ocelots,keas,ocelots and keas,keas and ocelots
ocelots,bonobos,ocelots and bonobos,bonobos and ocelots
ocelots,koalas,ocelots and koalas,koalas and ocelots
