binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
men and women,-31.204350367188454,-34.77450966835022,0.9726194316982624,3.570159301161766
black and white,-39.87963246833533,-42.26350013073534,0.9155888309941315,2.3838676624000072
day and night,-40.87029835768044,-39.82150737196207,0.25945733231922075,-1.0487909857183695
boys and girls,-20.697345286607742,-22.220276474952698,0.8209697075023831,1.5229311883449554
left and right,-19.930187478661537,-20.37983149290085,0.6105545918121967,0.4496440142393112
female and male,-41.258886735886335,-38.78614265844226,0.07779114766119129,-2.4727440774440765
father and mother,-40.96980347856879,-38.654514621943235,0.08986463516539998,-2.315288856625557
goods and services,-57.93111100792885,-62.62301868200302,0.9909141322765408,4.691907674074173
north and south,-45.008468221873045,-45.57430341094732,0.6378016124442487,0.5658351890742779
development and research,-55.114465123042464,-51.50866685900837,0.026447290220461446,-3.6057982640340924
place and time,-48.81857877410948,-47.60660741850734,0.22935242817168952,-1.2119713556021452
death and life,-40.01358705107123,-35.789683155249804,0.014430097922896568,-4.223903895821422
brothers and sisters,-38.878353238105774,-41.39897660911083,0.9255750077083024,2.5206233710050583
husband and wife,-49.327611446380615,-53.107769299298525,0.9776900046894041,3.7801578529179096
gas and oil,-54.56915104389191,-55.09462185204029,0.6284261318115272,0.5254708081483841
pepper and salt,-43.84950868040323,-39.869792096316814,0.01834799470299524,-3.979716584086418
fall and rise,-67.56367214862257,-63.354600199498236,0.014642562205141128,-4.209071949124336
arms and legs,-41.61784780025482,-44.69716800004244,0.9560316179478905,3.0793201997876167
fruits and vegetables,-44.41597736813128,-44.6064509768039,0.5474749554942866,0.19047360867261887
arts and sciences,-53.68020497262478,-54.149729400873184,0.6152711887607554,0.46952442824840546
gentlemen and ladies,-61.230848759412766,-58.744007617235184,0.0767858288886737,-2.486841142177582
feelings and thoughts,-53.589254796504974,-53.11182604730129,0.3828594722090568,-0.47742874920368195
diagnosis and treatment,-50.09181809425354,-55.77636560797691,0.9966134372966803,5.684547513723373
groups and individuals,-40.683252811431885,-37.95037978887558,0.06106123662960108,-2.732873022556305
knowledge and skills,-53.082596361637115,-51.820487678050995,0.2206111076725149,-1.2621086835861206
heart and mind,-38.689543737098575,-41.010183817707,0.9105720764947057,2.3206400806084275
influence and power,-43.813715098425746,-43.0546751935035,0.31885474952813386,-0.7590399049222469
Africa and Asia,-51.400469809770584,-48.29961124062538,0.0430718536948264,-3.1008585691452026
addresses and names,-65.7405974753201,-59.88830067589879,0.0028650600430367617,-5.85229679942131
poetry and prose,-39.291518695652485,-39.62547194957733,0.582720952370356,0.33395325392484665
forefinger and thumb,-56.532843650260475,-53.7162219506572,0.05643255170908942,-2.8166216996032745
minerals and vitamins,-27.14240127056837,-25.636689573526382,0.18157518918177043,-1.5057116970419884
fall and winter,-62.13497044239193,-62.986099685076624,0.700803973233217,0.8511292426846921
light and shadow,-37.045029044151306,-41.81441320478916,0.991585795291508,4.7693841606378555
honey and milk,-49.65174835920334,-48.98563188314438,0.33936697143066963,-0.66611647605896
nose and throat,-48.229534430895,-48.2922657369636,0.515677685596723,0.06273130606859922
anger and fear,-43.897947921417654,-44.36945827770978,0.6157411751142663,0.47151035629212856
head and tail,-42.559711933135986,-43.47741770744324,0.7145744108680082,0.917705774307251
novels and stories,-38.34498642385006,-37.920969888567924,0.39555602912911314,-0.424016535282135
