binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
men and women,-16.67823839187622,-17.175424695014954,0.6217978745170488,0.4971863031387329
black and white,-13.236903816461563,-16.110063433647156,0.9465035597442744,2.8731596171855927
day and night,-16.725075006484985,-17.393437087535858,0.6611363047869201,0.6683620810508728
boys and girls,-17.271354973316193,-18.572157502174377,0.7859700163525758,1.3008025288581848
left and right,-16.21532493829727,-18.037855744361877,0.8608695266707674,1.8225308060646057
female and male,-18.09845358133316,-16.206927552819252,0.13107057053816815,-1.8915260285139084
father and mother,-18.76242697238922,-18.060341715812683,0.3313500618605464,-0.7020852565765381
goods and services,-17.14894399046898,-21.419636368751526,0.9862204238748818,4.270692378282547
north and south,-17.659614145755768,-19.887547850608826,0.9027300716824915,2.227933704853058
development and research,-20.79925000667572,-16.53574240207672,0.013877556902748353,-4.263507604598999
place and time,-18.381075263023376,-16.678775191307068,0.1541651011879389,-1.7023000717163086
death and life,-18.986247897148132,-16.54765772819519,0.08027694202486681,-2.438590168952942
brothers and sisters,-16.838880866765976,-19.33541738986969,0.9238986604165219,2.496536523103714
husband and wife,-17.534972310066223,-19.570446848869324,0.8844716532812523,2.0354745388031006
gas and oil,-18.31632673740387,-14.959357678890228,0.03366769322097093,-3.3569690585136414
pepper and salt,-19.662408471107483,-15.632538884878159,0.0174661583708027,-4.029869586229324
fall and rise,-20.42150104045868,-16.968543767929077,0.03068078944555657,-3.452957272529602
arms and legs,-17.204858779907227,-20.47442591190338,0.9633698995973745,3.269567131996155
fruits and vegetables,-15.99341905117035,-18.002039074897766,0.8816991585283229,2.008620023727417
arts and sciences,-20.24262249469757,-22.517420411109924,0.9067681942494791,2.2747979164123535
gentlemen and ladies,-20.847567558288574,-15.21797850728035,0.0035772079949829123,-5.6295890510082245
feelings and thoughts,-20.55502426624298,-19.49234449863434,0.25679768076631104,-1.0626797676086426
diagnosis and treatment,-17.16971927881241,-21.37477672100067,0.9852994028547463,4.205057442188263
groups and individuals,-21.802255034446716,-20.117583632469177,0.1564778886578613,-1.684671401977539
knowledge and skills,-18.658160090446472,-19.889432430267334,0.7740411859103161,1.2312723398208618
heart and mind,-19.49757468700409,-21.323632836341858,0.8612914702741794,1.8260581493377686
influence and power,-21.596441864967346,-20.096765160560608,0.18247374714775239,-1.4996767044067383
Africa and Asia,-17.45202362537384,-16.96651065349579,0.38095116500296744,-0.48551297187805176
addresses and names,-22.689730763435364,-18.049386382102966,0.009562056615165624,-4.6403443813323975
poetry and prose,-19.308322548866272,-18.754831433296204,0.36505482343085865,-0.5534911155700684
forefinger and thumb,-22.950582683086395,-20.018554598093033,0.05059282070966948,-2.9320280849933624
minerals and vitamins,-19.371397614479065,-17.65207439661026,0.15195835800819424,-1.719323217868805
fall and winter,-17.624626129865646,-21.40736711025238,0.9777462790657016,3.782740980386734
light and shadow,-17.502432942390442,-19.556241750717163,0.8863319122316724,2.053808808326721
honey and milk,-21.946689009666443,-17.661089301109314,0.013578451513501465,-4.285599708557129
nose and throat,-22.22426688671112,-23.225504517555237,0.7313018420269829,1.0012376308441162
anger and fear,-19.80641758441925,-20.63325345516205,0.6956854759628154,0.8268358707427979
head and tail,-19.462715983390808,-22.501203656196594,0.954282896151227,3.038487672805786
novels and stories,-20.567516446113586,-21.836122393608093,0.7805040157178301,1.2686059474945068
sunrise and sunset,-18.89958882331848,-21.471887230873108,0.9290573329794133,2.5722984075546265
sympathy and understanding,-22.272687792778015,-25.19538152217865,0.948956934968082,2.9226937294006348
shoes and socks,-18.036481380462646,-19.359050154685974,0.7896087661394603,1.3225687742233276
equipment and personnel,-22.358521580696106,-21.269012331962585,0.251710701320207,-1.0895092487335205
eyes and face,-21.075132250785828,-20.841726660728455,0.44191207367940516,-0.23340559005737305
ink and paper,-18.467942118644714,-18.18231451511383,0.4290746374851564,-0.2856276035308838
muscles and nerves,-21.744197726249695,-24.659529089927673,0.9485991380824508,2.9153313636779785
charts and maps,-18.91515290737152,-17.852495312690735,0.25680191255076956,-1.0626575946807861
elbows and knees,-20.304603576660156,-20.25593852996826,0.48783613885822624,-0.04866504669189453
Christmas and Easter,-16.97252881526947,-19.44562518596649,0.9222341219869026,2.4730963706970215
nature and size,-21.635056853294373,-20.925494074821472,0.3296954573626073,-0.7095627784729004
gums and teeth,-21.269384026527405,-20.564741492271423,0.3307837231443211,-0.7046425342559814
chairs and sofas,-20.757323622703552,-19.643821835517883,0.2472186237374718,-1.113501787185669
characters and situations,-23.54881489276886,-25.48744809627533,0.8742019097301384,1.9386332035064697
joy and pleasure,-22.835986971855164,-22.100765347480774,0.32404992542998673,-0.7352216243743896
Thursday and Tuesday,-23.61316430568695,-18.10981833934784,0.0040565970829321025,-5.503345966339111
barley and oats,-21.58103597164154,-21.500892758369446,0.4799749138530469,-0.08014321327209473
beauty and dignity,-23.186330437660217,-23.77798902988434,0.6437456132109171,0.5916585922241211
boats and ships,-19.23695147037506,-19.406617522239685,0.5423150528679777,0.16966605186462402
misery and pain,-22.405936121940613,-21.398363709449768,0.2674552022070605,-1.0075724124908447
bones and skulls,-21.90137231349945,-20.07142448425293,0.13824448831094727,-1.829947829246521
dairy and poultry,-22.99691092967987,-22.726767659187317,0.43287192267564945,-0.2701432704925537
being and existence,-20.43346917629242,-26.170323252677917,0.9967854689181701,5.736854076385498
radar and radio,-20.763638854026794,-20.657413125038147,0.47346851129647993,-0.10622572898864746
humility and pride,-23.972320437431335,-22.723281502723694,0.22286654816385304,-1.2490389347076416
pitch and volume,-21.24404013156891,-22.9926255941391,0.8517742986200898,1.7485854625701904
skirt and sweater,-22.1821311712265,-21.562230467796326,0.3498040352175736,-0.6199007034301758
linen and silk,-20.78382408618927,-20.102860808372498,0.33604634288881724,-0.6809632778167725
checks and money,-20.79539954662323,-23.97695028781891,0.9601340655848528,3.1815507411956787
calluses and corns,-23.529655516147614,-20.967554032802582,0.07161769173515946,-2.5621014833450317
action and motion,-22.741438508033752,-23.486835837364197,0.678174974278051,0.7453973293304443
brain and intelligence,-22.630849719047546,-23.67256534099579,0.7391809008225223,1.0417156219482422
conduct and manners,-24.4259535074234,-22.886372685432434,0.1765962191883833,-1.5395808219909668
completeness and unity,-26.290637850761414,-25.014219403266907,0.21816049975920604,-1.2764184474945068
hostility and indifference,-25.413191199302673,-27.190074801445007,0.8553116271909628,1.776883602142334
depth and force,-25.08100974559784,-25.665707230567932,0.6421475797885422,0.5846974849700928
hours and miles,-22.769951462745667,-23.432133316993713,0.6597503412983585,0.6621818542480469
movements and speech,-26.83453929424286,-26.6201411485672,0.4466048397328169,-0.21439814567565918
schools and synagogues,-25.011214930796996,-24.160667300224304,0.2993179921350367,-0.8505476305726916
arrangers and composers,-25.339255452156067,-23.620251551270485,0.15199951200812645,-1.719003900885582
happiness and laughter,-22.51511251926422,-22.425768494606018,0.47767883981203735,-0.08934402465820312
diagrams and sketches,-21.33587086200714,-22.055163979530334,0.6724513377386838,0.7192931175231934
pail and shovel,-21.30724024772644,-23.45604581385851,0.8955571087911092,2.1488055661320686
candies and cookies,-22.22984266281128,-21.67456328868866,0.3646404234519665,-0.5552793741226196
county and village,-23.86179554462433,-22.04831635951996,0.1402181602516679,-1.8134791851043701
charm and variety,-26.059513926506042,-24.464819073677063,0.16872438893637068,-1.5946948528289795
bouquets and wreaths,-23.449109960347414,-22.754413530696183,0.3329891446986565,-0.6946964296512306
beech and elm,-23.031883597373962,-24.731842232868075,0.8455293323970593,1.699958635494113
complexity and obscurity,-25.509612195193768,-27.521626234054565,0.8820527154605682,2.012014038860798
devotion and effort,-26.545004963874817,-24.427594780921936,0.10741612436783819,-2.117410182952881
alibis and excuses,-22.597123861312866,-26.04796834103763,0.9692563148556693,3.450844479724765
body and mind,-18.172809839248657,-18.31290626525879,0.5349669338428348,0.14009642601013184
man and woman,-16.949843406677246,-18.636597990989685,0.8437968791809197,1.686754584312439
law and order,-15.679572105407715,-22.728463053703308,0.9991323819224633,7.048890948295593
cause and effect,-15.606573902070522,-21.55932652950287,0.9974080581474715,5.952752627432346
radio and television,-17.805850863456726,-18.79528534412384,0.7289762072222467,0.9894344806671143
feet and hands,-20.79040515422821,-17.44784688949585,0.03413970039778153,-3.342558264732361
money and time,-19.60195028781891,-17.438214898109436,0.1030546606430767,-2.1637353897094727
blood and flesh,-20.73299205303192,-18.041537642478943,0.06347949892853202,-2.6914544105529785
god and man,-19.738935589790344,-21.832655787467957,0.8902913152829147,2.0937201976776123
brother and sister,-17.159006267786026,-19.27620279788971,0.8925633893272799,2.1171965301036835
father and son,-16.26121413707733,-21.875242352485657,0.996366896128456,5.614028215408325
men and officers,-25.3244708776474,-19.92326593399048,0.004490882983705659,-5.401204943656921
south and west,-18.58515703678131,-19.841954588890076,0.7784743316320502,1.2567975521087646
error and trial,-25.684991240501404,-17.47507232427597,0.0002718688377769372,-8.209918916225433
arts and crafts,-16.725080370903015,-21.850765109062195,0.9940929533919386,5.12568473815918
pressure and temperature,-18.860398054122925,-17.53160870075226,0.20935969087182205,-1.3287893533706665
days and nights,-18.21231758594513,-20.400609850883484,0.8991932146649197,2.1882922649383545
land and sea,-17.36460793018341,-20.704795241355896,0.9657820329383295,3.3401873111724854
north and west,-19.037317872047424,-20.091954588890076,0.7416642815797984,1.0546367168426514
spring and summer,-16.62245225906372,-21.375368475914,0.9914472783318753,4.752916216850281
magazines and newspapers,-18.523674845695496,-17.116960763931274,0.1967528492982029,-1.4067140817642212
hands and knees,-20.21347200870514,-23.31758201122284,0.9570619606366177,3.1041100025177
moon and sun,-20.174694895744324,-18.7757226228714,0.19797924686463056,-1.3989722728729248
fathers and mothers,-20.946301460266113,-18.75601327419281,0.10062600960271934,-2.1902881860733032
city and county,-18.129271388053894,-19.58534550666809,0.8109314869599943,1.4560741186141968
ears and eyes,-21.20323359966278,-18.98138201236725,0.09780529958802021,-2.2218515872955322
college and school,-22.4308522939682,-19.402621150016785,0.04616665663852289,-3.028231143951416
college and university,-19.23553967475891,-18.899352192878723,0.4167358795303668,-0.336187481880188
dark and light,-18.67231595516205,-17.025870442390442,0.16158992754883722,-1.6464455127716064
future and past,-19.527257561683655,-17.235453605651855,0.09180403240361418,-2.2918039560317993
evening and morning,-20.699188351631165,-18.882392585277557,0.1398187999748498,-1.8167957663536072
ice and snow,-17.868824005126953,-17.05782413482666,0.3076774703347129,-0.810999870300293
husbands and wives,-18.96207296848297,-21.18651020526886,0.9024226194830957,2.2244372367858887
boys and men,-20.341667532920837,-20.92823851108551,0.6425779826589578,0.5865709781646729
bread and butter,-16.167172014713287,-21.382595419883728,0.9945972156468562,5.215423405170441
head and shoulders,-16.767403483390808,-22.30441653728485,0.996077176453121,5.537013053894043
rock and roll,-16.402281999588013,-23.023202300071716,0.9986695680542569,6.620920300483704
testament and will,-22.879004955291748,-18.54700231552124,0.012970752715079376,-4.332002639770508
engineers and scientists,-20.086105585098267,-19.795814037322998,0.4279324928446578,-0.29029154777526855
man and wife,-18.395437121391296,-24.211071848869324,0.9970282696375418,5.815634727478027
arms and hands,-20.806421399116516,-19.86525857448578,0.28066551728078454,-0.9411628246307373
math and science,-18.283274054527283,-19.484750628471375,0.7687873536389757,1.2014765739440918
son and wife,-22.15554630756378,-21.023571848869324,0.24379690563637768,-1.131974458694458
fingers and thumb,-22.59324538707733,-21.750675797462463,0.30099387487245927,-0.8425695896148682
flesh and skin,-22.26243770122528,-20.839362502098083,0.19417994201611552,-1.4230751991271973
life and religion,-21.7585951089859,-22.216894030570984,0.6126105555590524,0.458298921585083
conscience and religion,-22.583642601966858,-23.310644030570984,0.6741469121327004,0.727001428604126
pain and pressure,-22.469532370567322,-23.80762016773224,0.7921753045031066,1.338087797164917
integrity and unity,-24.21835196018219,-20.899956107139587,0.0349454668948897,-3.3183958530426025
flowers and hearts,-21.326411843299866,-18.00410807132721,0.03481391438817866,-3.3223037719726562
grapefruit and oranges,-23.48272430896759,-20.92643651366234,0.07200519969173019,-2.556287795305252
folklore and legend,-22.27200710773468,-24.865964770317078,0.9304716912438397,2.5939576625823975
doctors and fathers,-25.31708586215973,-24.855779886245728,0.38667605583683284,-0.46130597591400146
contraction and dilation,-24.156315684318542,-21.71182107925415,0.07984208137045881,-2.444494605064392
ships and weapons,-22.849151253700256,-22.333486914634705,0.37386661382963643,-0.5156643390655518
funnels and masts,-30.524365305900574,-25.42725246399641,0.0060772158989280565,-5.097112841904163
law and sovereignty,-22.880051255226135,-24.550162196159363,0.8415906119007862,1.6701109409332275
assurance and dignity,-28.246147751808167,-27.096822381019592,0.24061232840386976,-1.1493253707885742
mr. and mrs.,-19.965146015398204,-23.133884340524673,0.9596407477540034,3.168738325126469
bride and groom,-17.660040520131588,-20.347354292869568,0.9362738953847257,2.68731377273798
feet and legs,-19.39539611339569,-18.928394675254822,0.3853262080917783,-0.46700143814086914
peace and quiet,-17.14146077632904,-22.430380940437317,0.9949781389009755,5.288920164108276
daughter and son,-19.686319708824158,-20.165637731552124,0.6175868228409708,0.4793180227279663
ends and odds,-23.62727725505829,-16.147920094430447,0.0005643016429281608,-7.479357160627842
city and state,-18.210506796836853,-19.00280463695526,0.6883245083385978,0.7922978401184082
facts and figures,-16.29266881942749,-21.169652819633484,0.9924376635034698,4.876984000205994
man and nature,-19.20470631122589,-20.5158554315567,0.7877053817598254,1.3111491203308105
prose and verse,-20.86634361743927,-21.746927857398987,0.7069432753364435,0.8805842399597168
body and head,-21.24655044078827,-18.170875906944275,0.044121883247568376,-3.075674533843994
command and control,-17.200699627399445,-20.307758927345276,0.9571829968930633,3.1070592999458313
child and wife,-23.952927470207214,-20.052751660346985,0.019836887106692486,-3.9001758098602295
aunt and uncle,-20.445010900497437,-20.548962950706482,0.5259646355456465,0.10395205020904541
cattle and horses,-21.158689856529236,-21.531805634498596,0.5922116451445163,0.37311577796936035
politics and religion,-18.62089705467224,-18.88868248462677,0.5665491506780687,0.2677854299545288
July and June,-21.57214343547821,-16.580233216285706,0.006746847437473385,-4.991910219192505
sailors and soldiers,-22.05764377117157,-20.257633328437805,0.14184979371815012,-1.8000104427337646
English and German,-17.296603560447693,-17.462490439414978,0.5413768775808959,0.16588687896728516
food and shelter,-18.712643265724182,-21.515686631202698,0.942840060444145,2.8030433654785156
sights and sounds,-17.45527684688568,-21.473524689674377,0.9823332773405624,4.018247842788696
comings and goings,-19.30671565726516,-21.415536083979532,0.8917575263032997,2.1088204267143738
