binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
men and women,-17.72774851322174,-19.079431295394897,0.7944046063231773,1.3516827821731567
black and white,-16.023946464061737,-19.139695405960083,0.9575377191784715,3.115748941898346
day and night,-18.248836398124695,-19.046237885951996,0.6894183599604979,0.797401487827301
boys and girls,-18.69153419137001,-19.19389796257019,0.6230146651998962,0.50236377120018
left and right,-17.700301349163055,-18.015713572502136,0.5782057707421041,0.3154122233390808
female and male,-20.22442537546158,-18.500711664557457,0.15139343243021966,-1.7237137109041214
father and mother,-20.461668729782104,-19.984193086624146,0.38284839225565737,-0.477475643157959
goods and services,-17.77973574399948,-21.729291200637817,0.9811007970923414,3.949555456638336
north and south,-18.146669030189514,-20.8762469291687,0.9387495713664724,2.729577898979187
development and research,-21.381489038467407,-17.685163974761963,0.0242136989399193,-3.6963250637054443
place and time,-21.542962551116943,-18.084415912628174,0.0305149999463071,-3.4585466384887695
death and life,-21.82034683227539,-19.015963077545166,0.05708774524944167,-2.8043837547302246
brothers and sisters,-18.48545711301267,-21.55900013446808,0.955788132508841,3.073543021455407
husband and wife,-18.65745583176613,-21.368470430374146,0.9376734700618523,2.711014598608017
gas and oil,-20.00318944454193,-16.270634949207306,0.023372287653850903,-3.7325544953346252
pepper and salt,-22.097543478012085,-17.17766425013542,0.007247108449777627,-4.919879227876663
fall and rise,-21.336523294448853,-18.64904487133026,0.063716281441439,-2.6874784231185913
arms and legs,-20.071870803833008,-20.94717502593994,0.7058481963697486,0.8753042221069336
fruits and vegetables,-17.041759749874473,-20.553184520453215,0.9710110963106787,3.511424770578742
arts and sciences,-20.846639037132263,-23.5341579914093,0.9362861364635443,2.6875189542770386
gentlemen and ladies,-22.443048238754272,-17.78792467713356,0.009423098297060768,-4.655123561620712
feelings and thoughts,-22.133514642715454,-20.575773239135742,0.1739709798275955,-1.557741403579712
diagnosis and treatment,-19.10614377260208,-21.472691774135455,0.914240594295094,2.366548001533374
groups and individuals,-21.207254886627197,-21.84110975265503,0.6533630267747462,0.633854866027832
knowledge and skills,-20.15840721130371,-20.40990376472473,0.5625448193484055,0.2514965534210205
heart and mind,-20.25667142868042,-21.75245761871338,0.8169451601687927,1.495786190032959
influence and power,-22.08617091178894,-20.595834493637085,0.18387123826581095,-1.4903364181518555
Africa and Asia,-18.862399101257324,-18.056888818740845,0.30884805157899514,-0.8055102825164795
addresses and names,-23.49173140525818,-21.186275959014893,0.0906721500193576,-2.305455446243286
poetry and prose,-20.091338003985584,-20.51293706893921,0.6038658286742371,0.4215990649536252
forefinger and thumb,-23.619454503059387,-22.492473335005343,0.2447186458350894,-1.1269811680540442
minerals and vitamins,-20.972577490843832,-19.296247428443166,0.15758204088819885,-1.676330062400666
fall and winter,-18.75133067369461,-22.722838163375854,0.9815035623601394,3.971507489681244
