binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
men and women,-43.197352319955826,-45.46872317790985,0.9064780678167321,2.2713708579540253
black and white,-46.496347449719906,-49.011702977120876,0.9252113129805204,2.5153555274009705
day and night,-39.448735321406275,-39.424630288966,0.49397403367071696,-0.024105032440274954
boys and girls,-80.13866090774536,-90.52835321426392,0.99996925315141,10.389692306518555
left and right,-76.03050899505615,-87.35274291038513,0.999987899284999,11.32223391532898
female and male,-44.27485838159919,-42.914262677542865,0.20414350182445,-1.3605957040563226
father and mother,-41.076972395181656,-39.489691607654095,0.16976681508710315,-1.5872807875275612
goods and services,-49.44956016493961,-53.54762802645564,0.9836664864741871,4.098067861516029
north and south,-44.572278156119864,-46.314703740295954,0.8509948977324848,1.7424255841760896
development and research,-55.13155396655202,-49.09457434900105,0.0023830704159904566,-6.036979617550969
place and time,-46.88189917244017,-44.55695294775069,0.08907789113026272,-2.3249462246894836
death and life,-38.10025334125385,-36.084992800839245,0.1176099511069881,-2.0152605404146016
brothers and sisters,-42.842541951686144,-46.300050562247634,0.9694542762369115,3.45750861056149
husband and wife,-53.59701780730393,-55.58256675268058,0.8792714410331972,1.9855489453766495
gas and oil,-55.731443530879915,-55.94793833512813,0.5539132890512214,0.21649480424821377
pepper and salt,-44.061606630682945,-42.27034824900329,0.1429185114973686,-1.7912583816796541
fall and rise,-67.67957367002964,-62.05082930624485,0.0035802200707523765,-5.62874436378479
arms and legs,-44.24479363625869,-47.526977996341884,0.9638125467991729,3.2821843600831926
fruits and vegetables,-51.43136542476714,-51.487330274656415,0.5139875618341504,0.05596484988927841
arts and sciences,-54.67902150750888,-58.15734591245564,0.9700647006006357,3.478324404946761
gentlemen and ladies,-59.60710574593395,-57.47080060187727,0.10561790758006397,-2.136305144056678
feelings and thoughts,-63.9503041554708,-61.14185598527547,0.056869356347944225,-2.8084481701953337
diagnosis and treatment,-52.97029260220006,-55.42502365773544,0.9209067360998523,2.454731055535376
groups and individuals,-49.554234478622675,-47.36923757661134,0.10110588596611539,-2.184996902011335
knowledge and skills,-52.399375146400416,-51.00788146830746,0.19916940671075645,-1.3914936780929565
heart and mind,-41.902706978842616,-44.147605715319514,0.9042096013633105,2.244898736476898
influence and power,-41.91807487234473,-40.18705854378641,0.15045762634364665,-1.7310163285583258
Africa and Asia,-49.72230357234366,-50.67317434493452,0.7212902637027865,0.9508707725908607
addresses and names,-67.84016385115683,-62.24064450757578,0.003686004649703453,-5.599519343581051
poetry and prose,-54.2219054850284,-57.85045087337494,0.9741321323908038,3.628545388346538
forefinger and thumb,-52.52550489496207,-51.109582553457585,0.19530162780983237,-1.4159223415044835
