binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
20s and 30s,-18.446745190303773,-23.81116934120655,0.9953416472830666,5.364424150902778
a.b. and m.a.,-35.29321614652872,-37.30674912780523,0.8822106480512026,2.013532981276512
abasement and humiliation,-35.24989467859268,-25.950443771202117,9.146607882399564e-5,-9.299450907390565
ability and age,-31.78547191619873,-32.283761501312256,0.6220572932427738,0.4982895851135254
ability and desire,-34.06281566619873,-33.72285461425781,0.4158189380448227,-0.33996105194091797
ability and strength,-33.24640941619873,-33.779118061065674,0.6301146385019143,0.5327086448669434
abolition and emancipation,-24.16934281634167,-27.084573447704315,0.9485942262723402,2.915230631362647
action and character,-31.858444690704346,-33.14824199676514,0.7841128791493829,1.289797306060791
action and conversation,-34.604538440704346,-33.6056547164917,0.269160951110011,-0.9988837242126465
action and mind,-33.042038440704346,-34.18918037414551,0.7589884922933692,1.147141933441162
action and motion,-33.694382190704346,-33.35670280456543,0.4163732918179041,-0.337679386138916
actions and feelings,-34.724884033203125,-34.61845684051514,0.47341828745457326,-0.10642719268798828
activities and character,-33.00631523132324,-32.16777324676514,0.30184194772944717,-0.8385419845581055
activities and places,-32.63912773132324,-31.801522731781006,0.3020394384086406,-0.8376049995422363
activity and nature,-34.724141120910645,-34.34865379333496,0.4072157581969391,-0.3754873275756836
addresses and names,-32.97377967834473,-31.58942699432373,0.20031084930885706,-1.384352684020996
adventure and romance,-32.19164729118347,-34.35091030597687,0.8965312035557055,2.159263014793396
africa and asia,-28.072786569595337,-35.60254144668579,0.9994634182349112,7.529754877090454
age and day,-31.127511501312256,-29.68691921234131,0.19145364597790063,-1.4405922889709473
agencies and individuals,-40.680428981781006,-36.07272481918335,0.009876180450776682,-4.607704162597656
aggression and hostility,-40.60237121582031,-45.09756088256836,0.9889606640386212,4.495189666748047
agreements and contracts,-38.41543298959732,-32.890124559402466,0.003968825181772613,-5.525308430194855
aims and ends,-31.684571743011475,-32.87431764602661,0.766695616104752,1.1897459030151367
aircraft and ships,-33.00088405609131,-33.68334913253784,0.6642886546696298,0.6824650764465332
alibis and excuses,-39.332738161087036,-33.92389178276062,0.004456849338081357,-5.408846378326416
aloes and myrrh,-31.85733338445425,-32.157937318086624,0.5745901467661175,0.3006039336323738
ammo and weapons,-39.21925163269043,-38.46678018569946,0.32028302353759763,-0.7524714469909668
ammunition and baggage,-30.564402289688587,-27.19340155646205,0.033214159300659664,-3.3710007332265377
ammunition and guns,-46.673012256622314,-33.180299043655396,1.3809835518157968e-6,-13.492713212966919
anger and anxiety,-40.59651517868042,-43.7948055267334,0.9607698892627726,3.1982903480529785
anger and fear,-34.546610832214355,-36.89743709564209,0.912999880971568,2.3508262634277344
anger and hatred,-42.40540313720703,-42.39849090576172,0.4982719490190372,-0.0069122314453125
anger and indignation,-39.66729164123535,-41.250954151153564,0.8297225934631977,1.583662509918213
anger and spite,-36.698954582214355,-38.217759132385254,0.8203623770697863,1.5188045501708984
anguish and pain,-43.214144229888916,-34.09277868270874,1.0929336746859258e-4,-9.121365547180176
anguish and rage,-35.312827348709106,-34.19756722450256,0.24689153991188034,-1.115260124206543
anthropology and psychology,-27.05342572927475,-26.69082583487034,0.41033035083521935,-0.3625998944044113
anxiety and dismay,-41.92203235626221,-37.21965152025223,0.008992057724702454,-4.702380836009979
apprehension and fear,-46.623318672180176,-42.870917320251465,0.02292352268293831,-3.752401351928711
