binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
men and women,-15.28955078125,-16.375,0.7475238115832926,1.08544921875
black and white,-13.71728515625,-17.1669921875,0.9692224024875827,3.44970703125
day and night,-17.58544921875,-17.01611328125,0.3613900679227611,-0.5693359375
boys and girls,-16.35205078125,-17.57421875,0.7724448466088644,1.22216796875
left and right,-16.0003662109375,-17.08935546875,0.7481913444847963,1.0889892578125
female and male,-17.9521484375,-16.2908935546875,0.15959361577151804,-1.6612548828125
father and mother,-18.640625,-19.294921875,0.6579780993256592,0.654296875
goods and services,-15.644775390625,-21.607421875,0.997433510514868,5.962646484375
north and south,-17.70361328125,-20.064453125,0.9137919881912889,2.36083984375
development and research,-20.693359375,-15.884765625,0.008093289897373068,-4.80859375
place and time,-19.9609375,-16.111328125,0.020844315616518973,-3.849609375
death and life,-18.40625,-16.28125,0.1066905939456512,-2.125
brothers and sisters,-16.558837890625,-18.9716796875,0.9178013275617458,2.412841796875
husband and wife,-17.146484375,-19.6171875,0.922062308826481,2.470703125
gas and oil,-18.2724609375,-15.21630859375,0.044952601189870385,-3.05615234375
pepper and salt,-19.40234375,-15.984375,0.03173859189922297,-3.41796875
fall and rise,-23.2578125,-15.66162109375,5.02108843932134e-4,-7.59619140625
arms and legs,-17.5927734375,-19.8984375,0.909345049070648,2.3056640625
fruits and vegetables,-14.8515625,-17.7490234375,0.9477207791812771,2.8974609375
arts and sciences,-20.41015625,-22.9296875,0.925499740981022,2.51953125
gentlemen and ladies,-19.29150390625,-14.945556640625,0.012793433596812981,-4.345947265625
feelings and thoughts,-20.455078125,-18.205078125,0.09534946489910949,-2.25
diagnosis and treatment,-17.087890625,-21.5703125,0.9888203983014913,4.482421875
groups and individuals,-22.28515625,-18.8515625,0.03126191341682427,-3.43359375
knowledge and skills,-18.158203125,-18.66796875,0.6247515298902347,0.509765625
heart and mind,-19.185546875,-20.26171875,0.745768862875808,1.076171875
influence and power,-19.640625,-19.58203125,0.48535575201323644,-0.05859375
Africa and Asia,-15.978515625,-16.5859375,0.6473524728455617,0.607421875
addresses and names,-22.341796875,-19.1171875,0.03825005909310359,-3.224609375
poetry and prose,-19.05078125,-19.4921875,0.6085940609116137,0.44140625
forefinger and thumb,-22.82080078125,-21.4288330078125,0.1990937988357394,-1.3919677734375
minerals and vitamins,-19.0791015625,-16.8984375,0.10150035067793514,-2.1806640625
fall and winter,-17.05615234375,-21.14453125,0.9835100849383441,4.08837890625
light and shadow,-18.462890625,-18.7333984375,0.5672175679438428,0.2705078125
honey and milk,-20.880859375,-17.84765625,0.04594820734917414,-3.033203125
nose and throat,-19.505859375,-21.845703125,0.912123561888131,2.33984375
