binom,Alpha Probs,Nonalpha Probs,ProbAandB,log_odds
men and women,-16.9296875,-18.705078125,0.8551267677954196,1.775390625
black and white,-15.0673828125,-18.1748046875,0.9571978541000363,3.107421875
day and night,-18.322265625,-18.095703125,0.4436004207211307,-0.2265625
boys and girls,-17.37255859375,-18.03466796875,0.6597340709808103,0.662109375
left and right,-17.248291015625,-17.9892578125,0.6772072319092793,0.740966796875
female and male,-19.6064453125,-17.914794921875,0.15555892098389879,-1.691650390625
father and mother,-19.423828125,-19.353515625,0.48242911338581357,-0.0703125
goods and services,-17.610595703125,-20.8359375,0.9617768753942724,3.225341796875
north and south,-18.484375,-20.681640625,0.900003694229084,2.197265625
development and research,-21.66015625,-16.6962890625,0.006937396219808488,-4.9638671875
place and time,-20.0849609375,-18.373046875,0.1529156178491764,-1.7119140625
death and life,-19.787109375,-18.173828125,0.1661335534168026,-1.61328125
brothers and sisters,-17.974853515625,-20.03515625,0.8869845204795369,2.060302734375
husband and wife,-17.492431640625,-19.5078125,0.8824025347616228,2.015380859375
gas and oil,-19.3037109375,-16.0458984375,0.037047168669075196,-3.2578125
pepper and salt,-19.7421875,-17.1708984375,0.07100922157325494,-2.5712890625
fall and rise,-21.9609375,-18.1533203125,0.0217188365843161,-3.8076171875
arms and legs,-19.0830078125,-20.1279296875,0.7397985681509066,1.044921875
fruits and vegetables,-16.427734375,-18.58642578125,0.8964781674099993,2.15869140625
arts and sciences,-20.08984375,-23.42578125,0.9656413106669911,3.3359375
gentlemen and ladies,-21.09375,-18.1533203125,0.05019078530987122,-2.9404296875
feelings and thoughts,-20.810546875,-18.78515625,0.116562738188093,-2.025390625
diagnosis and treatment,-16.7900390625,-21.330078125,0.989439720125882,4.5400390625
groups and individuals,-23.3828125,-20.662109375,0.06176270896503103,-2.720703125
knowledge and skills,-18.783203125,-20.0234375,0.7756048079953142,1.240234375
heart and mind,-20.275390625,-20.890625,0.6491339071440807,0.615234375
influence and power,-21.701171875,-21.6328125,0.482916808217448,-0.068359375
Africa and Asia,-16.205078125,-16.236328125,0.5078118642792044,0.03125
addresses and names,-23.109375,-19.826171875,0.03615193758286911,-3.283203125
poetry and prose,-19.8671875,-20.583984375,0.6719012775177653,0.716796875
forefinger and thumb,-24.8154296875,-22.56536865234375,0.0953442002620198,-2.25006103515625
minerals and vitamins,-21.265625,-17.9560546875,0.035244326593465186,-3.3095703125
fall and winter,-17.568359375,-20.78515625,0.9614615034830581,3.216796875
light and shadow,-19.46875,-19.99609375,0.628863371037271,0.52734375
honey and milk,-21.552734375,-19.14453125,0.08254930226402811,-2.408203125
nose and throat,-20.4443359375,-23.240234375,0.94245378055119855,2.7958984375
anger and fear,-21.521484375,-20.7421875,0.3144714453782796,-0.779296875
head and tail,-18.9296875,-21.5234375,0.9304582554941719,2.59375
novels and stories,-21.1484375,-23.91015625,0.9405717789263597,2.76171875
sunrise and sunset,-19.568603515625,-20.705001831054688,0.7570177518121797,1.1363983154296875
sympathy and understanding,-24.267578125,-25.328125,0.7427950399544172,1.060546875
shoes and socks,-20.712890625,-20.541015625,0.4571367168274948,-0.171875
equipment and personnel,-22.619140625,-20.3515625,0.09384395939201788,-2.267578125
eyes and face,-22.861328125,-22.84375,0.4956055819021965,-0.017578125
ink and paper,-19.169921875,-19.58203125,0.6015935593881796,0.412109375
muscles and nerves,-23.677734375,-22.423828125,0.2220246807679208,-1.25390625
charts and maps,-21.10546875,-20.314453125,0.3119506366474433,-0.791015625
elbows and knees,-19.32666015625,-20.05859375,0.6752294429184605,0.73193359375
Christmas and Easter,-15.55859375,-17.44140625,0.8679338421303608,1.8828125
nature and size,-23.666015625,-24.248046875,0.6415346628833171,0.58203125
gums and teeth,-23.1005859375,-21.955039978027344,0.2413035718418248,-1.1455459594726563
chairs and sofas,-21.928682327270508,-19.5830078125,0.08741019969252756,-2.345674514770508
characters and situations,-23.673828125,-25.06640625,0.8010035071781575,1.392578125
joy and pleasure,-22.70703125,-23.291015625,0.6419836947437563,0.583984375
Thursday and Tuesday,-21.05859375,-15.078125,0.0025212683210456455,-5.98046875
barley and oats,-21.62255859375,-24.001953125,0.9152424776344148,2.37939453125
beauty and dignity,-25.3203125,-24.421875,0.2893716974101632,-0.8984375
boats and ships,-22.267578125,-21.328125,0.2810108220201507,-0.939453125
misery and pain,-24.412109375,-22.291015625,0.10706346207954626,-2.12109375
bones and skulls,-23.036865234375,-21.37109375,0.15898876436603698,-1.665771484375
dairy and poultry,-23.845703125,-22.47265625,0.20212802394796645,-1.373046875
being and existence,-22.4765625,-26.748046875,0.9862311827285678,4.271484375
radar and radio,-23.63671875,-24.28515625,0.6566582705381818,0.6484375
humility and pride,-22.75390625,-22.6982421875,0.48608757647911083,-0.0556640625
pitch and volume,-23.802734375,-24.0625,0.5645786763641139,0.259765625
skirt and sweater,-23.990234375,-22.556640625,0.19253935386136434,-1.43359375
linen and silk,-22.375,-21.64453125,0.32509187188660654,-0.73046875
checks and money,-21.359375,-26.080078125,0.9911697556058312,4.720703125
calluses and corns,-24.321365356445313,-21.86083984375,0.07867223804268758,-2.4605255126953125
action and motion,-22.91015625,-25.51953125,0.9314625069680098,2.609375
brain and intelligence,-23.63671875,-24.427734375,0.6880493633525566,0.791015625
conduct and manners,-27.267578125,-24.884765625,0.08449275397500926,-2.3828125
completeness and unity,-25.955078125,-26.5390625,0.6419836947437564,0.583984375
hostility and indifference,-25.283203125,-25.6640625,0.5940803570022151,0.380859375
depth and force,-26.19921875,-27.60546875,0.8031737963569014,1.40625
hours and miles,-25.0234375,-23.279296875,0.14878776154920084,-1.744140625
movements and speech,-26.9296875,-26.291015625,0.3455468255389751,-0.638671875
schools and synagogues,-26.006771087646484,-25.2994384765625,0.3301885033021575,-0.7073326110839844
arrangers and composers,-26.787109375,-25.34153175354004,0.19068310760175997,-1.445577621459961
happiness and laughter,-23.69921875,-22.79296875,0.2877678157610531,-0.90625
diagrams and sketches,-23.5859375,-23.419921875,0.4585911565003855,-0.166015625
pail and shovel,-23.333984375,-24.7822265625,0.8097277575071378,1.4482421875
candies and cookies,-24.376953125,-23.322784423828125,0.2584253996037453,-1.054168701171875
county and village,-23.77734375,-23.7421875,0.4912118426336716,-0.03515625
charm and variety,-28.37890625,-26.669921875,0.1532954933993558,-1.708984375
bouquets and wreaths,-24.364578247070313,-26.950380325317383,0.9299422169512608,2.5858020782470703
beech and elm,-25.120929718017578,-28.6787109375,0.9722878570612886,3.557781219482422
complexity and obscurity,-25.706161499023438,-26.033203125,0.5810393852475351,0.3270416259765625
devotion and effort,-27.619140625,-24.4140625,0.03897507053921154,-3.205078125
alibis and excuses,-29.009765625,-24.694076538085938,0.013181275145174033,-4.3156890869140625
body and mind,-21.169921875,-18.361328125,0.05686154864494638,-2.80859375
man and woman,-18.0556640625,-19.75,0.8447935271441677,1.6943359375
law and order,-16.77734375,-23.65625,0.9989717891128628,6.87890625
cause and effect,-16.067138671875,-22.072265625,0.9975399903188076,6.005126953125
radio and television,-20.431640625,-19.8095703125,0.3493107377302406,-0.6220703125
feet and hands,-20.908203125,-18.861328125,0.1143685261818125,-2.046875
money and time,-20.8828125,-18.908203125,0.12189465566827874,-1.974609375
blood and flesh,-22.119140625,-18.599609375,0.028761587264997817,-3.51953125
god and man,-22.53515625,-22.234375,0.42536651124863334,-0.30078125
brother and sister,-18.15478515625,-19.3095703125,0.7603838595945502,1.15478515625
father and son,-18.052734375,-21.69140625,0.974386085430022,3.638671875
men and officers,-27.57421875,-22.0859375,0.004117917643959035,-5.48828125
south and west,-21.19140625,-20.90625,0.4291901086259222,-0.28515625
error and trial,-26.921875,-18.023681640625,1.3661688825049426e-4,-8.898193359375
arts and crafts,-16.7998046875,-22.57421875,0.9969036004124956,5.7744140625
pressure and temperature,-19.4462890625,-19.427734375,0.4953614612025339,-0.0185546875
days and nights,-19.712890625,-19.966796875,0.5631377274644433,0.25390625
