trigram,count
casserole	and	eagle,0
kite	and	linguist,0
algorithm	and	perfume,0
forest	and	screwdriver,0
sculpture	and	syntax,1
slipper	and	volcano,0
grammar	and	ocean,4
harmonica	and	microscope,0
cookbook	and	zenith,0
hammock	and	hydrogen,0
molecule	and	umbrella,3
sapphire	and	thunder,5
neuron	and	toaster,0
galaxy	and	shoelace,0
marshmallow	and	telescope,0
electricity	and	parchment,1
carousel	and	gravity,10
casserole	and	optics,0
encyclopedia	and	comet,0
logic	and	piano,8
garden	and	radar,3
nimbus	and	waffle,0
cactus	and	sunshine,44
algorithm	and	forest,33
cactus	and	circuit,0
photon	and	pumpkin,0
lantern	and	syntax,0
echo	and	vineyard,0
nebula	and	snowman,0
pendulum	and	spectrum,1
botany	and	teapot,0
ink	and	volcano,2
chisel	and	kaleidoscope,0
origami	and	signal,1
chandelier	and	galaxy,5
copper	and	rainbow,61
lava	and	teacup,0
antique	and	aurora,4
portal	and	sandcastle,3
carnival	and	feather,2
glacier	and	harmony,3
scooter	and	theory,0
entropy	and	orchard,0
axolotl	and	vineyard,0
polaroid	and	temple,2
clockwork	and	meadow,0
algebra	and	telecope,0
anchor	and	nebula,2
antenna	and	forest,4
arcade	and	topaz,0
asteroid	and	compass,0
bicycle	and	nebula,0
bridge	and	whirlwind,2
bungalow	and	entropy,0
canopy	and	mosaic,26
carnation	and	gnome,0
cathedral	and	teardrop,1
chamber	and	melody,7
chime	and	glacier,1
cinnamon	and	harmonica,0
cloud	and	violin,4
algae	and	compass,0
coral	and	syntax,0
crystal	and	tornado,7
dandelion	and	pendulum,0
delirium	and	telescope,0
desert	and	piano,4
feather	and	telescope,0
algorithm	and	flame,9
canvas	and	oasis,6
dog	and	cat,468911
significance	and	of,4915
cameras	and	glaciers,0
puzzles	and	galaxies,0
anchors	and	sandstorms,0
scissors	and	volcanoes,0
hurricanes	and	mirrors,2
equations	and	lanterns,0
satellites	and	tulips,0
robots	and	waterfalls,2
compasses	and	hedgehogs,0
planets	and	trampolines,0
skeletons	and	umbrellas,5
comets	and	neckties,0
castles	and	headphones,0
clouds	and	fountains,69
paperclips	and	pyramids,0
masks	and	mountains,10
lightning	and	ribbons,2
constellations	and	kettles,0
candles	and	dinosaurs,13
oceans	and	pencils,0
circuits	and	origami,17
kaleidoscopes	and	whales,0
meadows	and	pianos,0
clocks	and	rainbows,4
propellers	and	shadows,3
magnets	and	zebras,0
crystals	and	rivers,21
dragons	and	tunnels,59
parrots	and	submarines,0
glaciers	and	spices,0
feathers	and	meteors,41
archives	and	foxes,1
crayons	and	jungles,0
prisms	and	tents,3
mushrooms	and	satellites,2
bicycle	and	labyrinth,0
harbor	and	teapot,0
notebook	and	quicksand,0
glacier	and	lantern,0
microscope	and	puddle,0
compass	and	swan,0
fountain	and	orchard,7
guitar	and	monocule,0
bonsai	and	cathedral,0
honeycomb	and	violin,0
sailboat	and	stadium,0
acorns	and	skyscrapers,0
kayak	and	lantern,0
pebble	and	skyscrapers,0
