,cosine_diffs,binom
0,0.11783547699451447,abandon and fervor
1,0.08550352603197098,ability and age
2,0.1080659031867981,ability and desire
3,0.10783123224973679,ability and strength
4,0.15064570307731628,accessories and aircraft
5,0.21486133337020874,acids and tannin
6,0.16682080924510956,acknowledgment and authentication
7,0.11257016658782959,action and interests
8,0.0968964695930481,action and character
9,0.09134355187416077,actions and feelings
10,0.1153210774064064,adaptations and cycles
11,0.15371336042881012,addresses and names
12,0.09941581636667252,adherent and advocate
13,0.14372530579566956,adventure and romance
14,0.07223900407552719,age and day
15,0.16302667558193207,agencies and individuals
16,0.15099279582500458,aggression and hostility
17,0.17004969716072083,agreements and contracts
18,0.11773770302534103,aims and backgrounds
19,0.17404505610466003,aircraft and ships
20,0.15297122299671173,allegory and expressiveness
21,0.11686020344495773,amateurs and collectors
22,0.09928292036056519,amber and froth
23,0.21273577213287354,ambiguities and fears
24,0.24596667289733887,ambiguities and urgencies
25,0.16707263886928558,ambition and poverty
26,0.10111559182405472,ambush and death
27,0.1764017790555954,ammunition and guns
28,0.10171540826559067,amusement and pride
29,0.09169797599315643,anger and anxiety
30,0.0824393779039383,anger and fear
31,0.09538406878709793,anger and hatred
32,0.11047661304473877,anger and indignation
33,0.1425262689590454,angst and science
34,0.1331806182861328,anguish and pain
35,0.17253196239471436,animosity and resistance
36,0.17886990308761597,anthropologist and engineer
37,0.17569072544574738,anthropology and psychology
38,0.1754090040922165,anxiety and hazards
39,0.2236422747373581,appliances and cosmetics
40,0.16482394933700562,apprehension and fear
41,0.22428445518016815,apprenticeship and learning
42,0.27049705386161804,aqueducts and tombs
43,0.10251247882843018,arms and hands
44,0.08886545151472092,arms and legs
45,0.11192373186349869,arrows and crosses
46,0.15904280543327332,articulation and establishment
47,0.08982499688863754,arts and crafts
48,0.08620802313089371,arts and sciences
49,0.14930997788906097,aspirations and dignity
50,0.19062407314777374,assistant and confidante
51,0.12620338797569275,attitude and culture
52,0.1776207983493805,attraction and conflict
53,0.1698918342590332,attractions and repulsions
54,0.13196885585784912,aunt and uncle
55,0.12604719400405884,austerity and denial
56,0.16230203211307526,authority and decency
57,0.08307205140590668,background and dancers
58,0.09583761543035507,bale and box
59,0.1709589809179306,bankers and friends
60,0.12223992496728897,bankruptcy and death
61,0.1288621425628662,barnyard and coop
62,0.16751718521118164,barriers and stakes
63,0.2155108004808426,beech and horse-chestnut
64,0.15830397605895996,beginnings and greetings
65,0.14444050192832947,bellboy and chambermaid
66,0.1378176510334015,benefactor and sponsor
67,0.15211090445518494,berries and gardens
68,0.15323860943317413,bicep and forearm
69,0.1272161453962326,bitterness and youth
70,0.12068720161914825,bleats and rasps
71,0.19547516107559204,bleedings and pills
72,0.2482832670211792,boards and two-by-fours
73,0.0926666259765625,boy and mount
74,0.15702128410339355,cables and communiques
75,0.13848957419395447,cakes and comfort
76,0.15938544273376465,calmness and detachment
77,0.09972117841243744,capture and isolation
78,0.1575869917869568,career and wanderings
79,0.16143812239170074,carpet and tile
80,0.320706844329834,catholics and non-catholics
81,0.2465278059244156,ceremonies and exhortations
82,0.1051095724105835,chair and floor
83,0.15184760093688965,charters and contracts
84,0.19369690120220184,cherries and pineapple
85,0.13181374967098236,childhood and hobo
86,0.2349865734577179,choir and glee-club
87,0.1723056584596634,chorus and verses
88,0.1761857271194458,clarification and reexamination
89,0.11383414268493652,clarity and flavor
90,0.14811871945858002,clash and meeting
91,0.16255629062652588,classicist and mathematician
92,0.17002883553504944,classifications and probings
93,0.2682623267173767,clergymen and parishioners
94,0.11258456110954285,clerk and cook
95,0.21342991292476654,clerks and postmasters
96,0.17655491828918457,clothes and haircut
97,0.1169051006436348,clothing and decorations
98,0.19128286838531494,cologne and munich
99,0.11557048559188843,community and customers
100,0.1781931072473526,competence and willingness
101,0.15716877579689026,composure and tranquility
102,0.1330862194299698,concern and inquiry
103,0.15795773267745972,contemplation and delight
104,0.12456002086400986,contortion and scream
105,0.07807454466819763,control and needs
106,0.14173927903175354,costume and decor
107,0.15840327739715576,courage and virility
108,0.1382075548171997,courthouse and square
109,0.12912295758724213,cover and pillows
110,0.14828738570213318,coverings and veils
111,0.14265698194503784,covers and towels
112,0.1782899796962738,cowboy and rancher
113,0.17879603803157806,criminality and madness
114,0.17758232355117798,crisis and destruction
115,0.16515707969665527,cry and rustle
116,0.18401725590229034,curiosity and foreboding
117,0.13566471636295319,currents and rhythms
118,0.19338290393352509,dancers and guests
119,0.0957724004983902,danger and nuisance
120,0.11681493371725082,defeat and misfortune
121,0.1665685623884201,delirium and illness
122,0.14429450035095215,denial and ignorance
123,0.1253679096698761,denials and sacrifices
124,0.05235234647989273,derelicts and outcasts
125,0.0985526293516159,design and outline
126,0.14838440716266632,desire and response
127,0.1521477997303009,desire and wishing
128,0.2057899534702301,dialects and localisms
129,0.18204982578754425,diamonds and mink
130,0.19820719957351685,diffidence and gentleness
131,0.0549011193215847,direction and moment
132,0.15118703246116638,directness and truth
133,0.18089163303375244,disarray and impasse
134,0.1902197003364563,disasters and sufferings
135,0.1537766456604004,disrespect and misunderstanding
136,0.1608610302209854,distinction and tone
137,0.15760459005832672,doctors and president
138,0.15361641347408295,dogs and grandchildren
139,0.06354639679193497,door and sill
140,0.14496497809886932,drawing and models
141,0.14743532240390778,dregs and wine
142,0.14123430848121643,dryness and dust
143,0.21509204804897308,emeralds and peanuts
144,0.17033933103084564,employees and proprietors
145,0.12073072046041489,envelope and pencil
146,0.1257704198360443,envy and hurt
147,0.17305831611156464,equality and relativism
148,0.14466522634029388,equipment and musket
149,0.15757933259010315,exasperation and love
150,0.18069005012512207,farms and hayfields
151,0.17461314797401428,farms and mountains
152,0.17293895781040192,fear and ritual
153,0.15850721299648285,felons and fixers
154,0.1978113055229187,fishermen and scientists
155,0.1721535623073578,flirtation and romance
156,0.09970276057720184,force and voice
157,0.19454576075077057,foresight and patriotism
158,0.09019334614276886,form and mess
159,0.2265167385339737,freedom and israel
160,0.10137877613306046,friends and tenants
161,0.1948896199464798,furs and merchandise
162,0.2047627866268158,gadgets and prowess
163,0.13546447455883026,garden and livestock
164,0.18573366105556488,garden and pavilion
165,0.2189222276210785,gardens and riverbanks
166,0.16541413962841034,gardens and housing
167,0.16191864013671875,gasps and rushes
168,0.14289787411689758,gentility and principle
169,0.16564254462718964,gift and heritage
170,0.12895441055297852,glance and signal
171,0.12861688435077667,goodnight and lullaby
172,0.1463077962398529,gossip and truth
173,0.12028177082538605,graces and manners
174,0.3239867091178894,grandfather and great-grandfather
175,0.20778296887874603,greed and pettiness
176,0.15336820483207703,gunfire and shouting
177,0.1337931901216507,handle and hinge
178,0.1022249385714531,hat and tunic
179,0.18536733090877533,head-tossing and prancing
180,0.160622239112854,hearsay and legend
181,0.11665643751621246,heat and outcry
182,0.20874199271202087,hillbilly and jazz
183,0.18261706829071045,holland and japan
184,0.24996967613697052,honeysuckle and rosebush
185,0.10465651750564575,hope and smiles
186,0.1969640702009201,huggings and kissings
187,0.16886527836322784,humor and proportion
188,0.17781639099121094,immersion and involvement
189,0.16496692597866058,incredulity and shock
190,0.17772966623306274,inertia and petulance
191,0.17016731202602386,ingratitude and injury
192,0.1739935725927353,instinct and judgement
193,0.09270601719617844,intelligence and mentality
194,0.20896197855472565,intensities and rhythms
195,0.1753082424402237,interconnectedness and quality
196,0.14021849632263184,ivory and sandalwood
197,0.16809982061386108,jazz and marijuana
198,0.12201149761676788,jubilation and regret
199,0.10074096918106079,juice and spirit
200,0.22985699772834778,ketches and yachts
201,0.10178615152835846,kind and scale
202,0.1096082329750061,lights and motor
203,0.14056658744812012,linguist and therapist
204,0.18855632841587067,linguistics and psychiatry
205,0.2454317808151245,linguists and psychotherapists
206,0.0899505764245987,lint and thread
207,0.12572740018367767,liquor and luxury
208,0.19699378311634064,madman and tyrant
209,0.09472417831420898,maintenance and travel
210,0.14042341709136963,maps and registers
211,0.15582825243473053,marquees and signs
212,0.11833609640598297,meaningfulness and relevance
213,0.13481232523918152,mechanics and technique
214,0.18307127058506012,medicines and yeast
215,0.21080468595027924,miners and teamsters
216,0.11198402941226959,misunderstanding and persecution
217,0.181187704205513,modernizing and redecorating
218,0.13991841673851013,nagging and stress
219,0.14117224514484406,names and specialties
220,0.211673304438591,nationalism and sentiment
221,0.2042546570301056,neighborliness and politeness
222,0.1714712679386139,nightingales and roses
223,0.10405074059963226,non-poetry and poetry
224,0.14677546918392181,onrush and retreat
225,0.20997501909732819,optimism and practicality
226,0.14212948083877563,pains and shocks
227,0.1197744607925415,painting and sculptures
228,0.11450430750846863,passage and rhythm
229,0.14472326636314392,patients and psychiatrists
230,0.14229223132133484,patronage and subscription
231,0.1155582144856453,peace and rehabilitation
232,0.07672356814146042,pen and telephone
233,0.11122962832450867,people and soils
234,0.14000487327575684,pills and tonics
235,0.11456546187400818,poise and posture
236,0.1038007065653801,powers and traditions
237,0.1371399164199829,preparations and services
238,0.14919793605804443,promoters and salesmen
239,0.12385119497776031,reason and sight
240,0.11286448687314987,reference and withdrawal
241,0.1670597642660141,retribution and violence
242,0.22393082082271576,romance and snobbery
243,0.1182580292224884,salt and whiskey
244,0.09099306166172028,scars and welts
245,0.17418581247329712,Scots and Swiss
246,0.1528695672750473,screens and shades
247,0.18145865201950073,seals and wires
248,0.3067573308944702,self-aggrandisement and self-confidence
249,0.2454751431941986,self-indulgence and softness
250,0.16106219589710236,sky and wasteland
251,0.11337941884994507,song and tears
252,0.1456594169139862,sparkle and spring
253,0.21646013855934143,sprains and swellings
254,0.1733046919107437,stalls and urinals
255,0.14788439869880676,starvation and tuberculosis
256,0.1584959179162979,starvation and suicide
257,0.19605837762355804,sushi and tea
258,0.1308474838733673,suspense and worry
259,0.1569858193397522,temperature and wind-velocity
260,0.13614770770072937,tension and terror
261,0.1811930239200592,unhappiness and women
262,0.18463344871997833,usefulness and viability
263,0.11898403614759445,vitality and will
264,0.12618160247802734,aunts and uncles
265,0.08803050220012665,back and shoulders
266,0.14059190452098846,bacon and eggs
267,0.0880182757973671,bar and grill
268,0.16706965863704681,barley and oats
269,0.1916377991437912,barrels and boxes
270,0.12338163703680038,beauty and dignity
271,0.16768813133239746,beauty and truth
272,0.1531064808368683,beauty and youth
273,0.10178207606077194,being and existence
274,0.1521938294172287,belly and chest
275,0.06406644731760025,black and white
276,0.09570708870887756,blood and flesh
277,0.09039938449859619,blood and guts
278,0.11028443276882172,boats and ships
279,0.12802918255329132,bodies and faces
280,0.0897969976067543,body and face
281,0.058783549815416336,body and head
282,0.08539682626724243,body and mind
283,0.0776820108294487,bone and flesh
284,0.10646750777959824,bone and muscle
285,0.13924641907215118,bones and skulls
