ngram,count
20s	and	30s,425353
a.b.	and	m.a.,0
abasement	and	humiliation,300
ability	and	age,8831
ability	and	desire,67518
ability	and	strength,18478
abolition	and	emancipation,1562
action	and	character,14295
action	and	conversation,2346
action	and	mind,1460
action	and	motion,5491
actions	and	feelings,26897
activities	and	character,2076
activities	and	places,37443
activity	and	nature,2926
addresses	and	names,18634
adventure	and	romance,31366
africa	and	asia,552141
age	and	day,4139
agencies	and	individuals,48865
aggression	and	hostility,8025
agreements	and	contracts,43473
aims	and	ends,1846
aircraft	and	ships,26846
alibis	and	excuses,673
aloes	and	myrrh,612
ammo	and	weapons,6795
ammunition	and	baggage,414
ammunition	and	guns,4202
anger	and	anxiety,44897
anger	and	fear,118979
anger	and	hatred,93693
anger	and	indignation,12840
anger	and	spite,4267
anguish	and	pain,21058
anguish	and	rage,2486
anthropology	and	psychology,13508
anxiety	and	dismay,552
apprehension	and	fear,10316
apprehension	and	terror,420
archaeologists	and	geologists,2468
arches	and	piers,693
argument	and	debate,10307
arizona	and	california,75222
arm	and	back,29023
arms	and	faces,5147
arms	and	hands,226452
arms	and	legs,1514818
arrangers	and	composers,3738
arsenic	and	strychnine,935
artillery	and	mortar,24511
artist	and	critic,8514
arts	and	crafts,2379057
arts	and	sciences,1895416
ash	and	maple,5964
associations	and	enterprises,2993
assurance	and	dignity,206
astronomy	and	geology,5202
attention	and	civility,269
attitude	and	experience,8555
attractions	and	repulsions,4360
aunt	and	uncle,540723
aunts	and	uncles,423874
authority	and	force,2906
authority	and	independence,5136
azaleas	and	camellias,5406
b	and	c,3102826
babylon	and	nineveh,3494
back	and	behind,8253
back	and	hips,63764
back	and	shoulders,171994
background	and	intelligence,1059
background	and	interest,17984
bacon	and	coffee,7095
bacon	and	eggs,192096
bacteria	and	insects,7532
bandits	and	outlaws,1843
bar	and	grill,518221
barges	and	towboats,567
barley	and	oats,32647
barrels	and	boxes,4057
bathrobe	and	slippers,19990
battle	and	bloodshed,1759
beauty	and	brains,28142
beauty	and	color,15996
beauty	and	dignity,13914
beauty	and	inspiration,18981
beauty	and	poise,4153
beauty	and	truth,45079
beauty	and	youth,18024
beech	and	elm,1578
being	and	existence,8793
belly	and	chest,14138
berlin	and	frankfurt,8003
betrayal	and	murder,14495
bitterness	and	disappointment,4229
black	and	white,12753870
blame	and	hate,3512
blood	and	flesh,37764
blood	and	guts,151471
blossom	and	leaf,1061
boardinghouses	and	hotels,214
boats	and	ships,40080
bodies	and	faces,21542
body	and	breath,30880
body	and	face,138581
body	and	head,113567
body	and	mind,2098744
bombers	and	missiles,2864
bone	and	flesh,20392
bone	and	muscle,129433
bones	and	skulls,16907
boots	and	jacket,5308
boots	and	shoes,124122
boredom	and	loneliness,15666
boulders	and	ledges,1038
bouquets	and	wreaths,1558
bourbon	and	water,2370
boys	and	girls,4272550
boys	and	men,229523
brain	and	intelligence,4078
brains	and	talent,5813
bread	and	butter,1185069
bread	and	cheese,127947
breakfast	and	dinner,326303
breakfast	and	luncheon,2593
brick	and	glass,13999
bride	and	groom,1551667
brother	and	mother,47016
brother	and	sister,1252258
brothers	and	sisters,3836739
brow	and	cheeks,1516
brush	and	logs,1520
brush	and	trees,25214
burma	and	india,11106
bushes	and	vines,6600
c.	and	d.,0
cakes	and	pies,48500
calluses	and	corns,8241
candies	and	cookies,7931
captain	and	leader,9169
caresses	and	endearments,150
cattle	and	horses,74586
cause	and	consequence,27399
cause	and	effect,1736174
ceiling	and	walls,84118
celebration	and	ritual,1346
cents	and	dollars,2103
certainty	and	order,839
certainty	and	security,11951
chagrin	and	embarrassment,625
chair	and	table,44415
chairs	and	sofas,50552
chairs	and	table,43387
character	and	wisdom,4708
characters	and	situations,101205
charm	and	variety,1242
charts	and	maps,41200
checks	and	money,39516
chest	and	stomach,63056
child	and	husband,7987
child	and	wife,7331
childhood	and	infancy,1852
choice	and	decision,18412
chopping	and	sawing,1441
christmas	and	easter,173498
chrome	and	glass,13217
church	and	community,170168
church	and	graveyard,10194
city	and	country,162295
city	and	county,991358
city	and	state,566889
clarity	and	precision,48017
classmates	and	friends,59803
clay	and	wax,3994
cliches	and	stereotypes,5344
clippings	and	pictures,1983
closets	and	drawers,26155
clothes	and	dishes,14965
coat	and	hat,51997
cod	and	salmon,6322
coffee	and	sandwiches,16119
coffee	and	toast,19546
college	and	school,42895
college	and	university,846439
colonel	and	mrs.,0
color	and	imagery,5453
color	and	light,113646
color	and	scent,15771
color	and	texture,435976
colors	and	forms,30813
comb	and	wattles,5971
comedy	and	humor,6173
comedy	and	satire,11940
comfort	and	companionship,17661
comfort	and	ease,333527
comings	and	goings,301013
command	and	control,976072
commands	and	statements,1386
commercialism	and	materialism,1406
completeness	and	unity,1020
complexity	and	obscurity,1136
comprehension	and	control,1672
concord	and	lexington,5560
concrete	and	steel,173146
conduct	and	manners,1288
confusion	and	congestion,1050
confusion	and	fear,50558
confusion	and	turmoil,5857
confusions	and	contradictions,1666
conscience	and	religion,37847
contemporary	and	friend,7413
contraction	and	dilatation,1346
contraction	and	dilation,2623
control	and	growth,4260
control	and	intelligence,6311
corruption	and	crime,32412
cost	and	upkeep,4172
costumes	and	masks,24031
cotton	and	tobacco,18010
council	and	governor,1943
counterpoint	and	harmony,2826
counties	and	towns,22094
county	and	village,3029
courage	and	hope,48127
cousins	and	uncles,12259
crannies	and	nooks,2598
cream	and	peaches,1461
crime	and	poverty,38503
crime	and	punishment,304242
crime	and	violence,176369
crises	and	problems,3801
crops	and	livestock,108692
curettage	and	dilatation,32
cuts	and	wounds,30252
cysts	and	tumors,10777
dairy	and	poultry,47884
danger	and	threat,8382
dark	and	light,366543
dates	and	events,56224
daughter	and	son,168800
day	and	night,3889410
days	and	nights,993365
days	and	years,79488
death	and	life,178088
debate	and	discussion,139139
december	and	may,19839
democracy	and	liberty,14435
dentist	and	doctor,6299
depth	and	force,2011
desolation	and	misery,887
despair	and	futility,1365
despair	and	rage,5075
detection	and	removal,58638
detective	and	police,2000
determination	and	faith,9068
development	and	practice,32531
development	and	research,186009
devotion	and	effort,1644
diagnosis	and	treatment,2698167
diagrams	and	sketches,3724
diamonds	and	rubies,16451
dirt	and	sweat,24011
discretion	and	moderation,657
discussion	and	thought,10073
disdain	and	indifference,845
distress	and	pain,18951
doctors	and	fathers,878
dogs	and	men,8323
domination	and	influence,1090
doorways	and	windows,28785
doubts	and	fears,110512
doubts	and	suspicions,7239
dreams	and	plans,39318
drudgery	and	monotony,732
ears	and	eyes,132312
ears	and	hair,6012
earth	and	sky,103058
economist	and	historian,4057
editing	and	publishing,88838
editor	and	publisher,191318
education	and	industrialization,668
education	and	skill,52008
effort	and	resources,116676
eggs	and	ham,134177
egypt	and	europe,4035
elbows	and	knees,104321
elegance	and	purity,4323
eloquence	and	force,571
emotion	and	meaning,13725
ends	and	odds,660
energy	and	money,365182
engineers	and	scientists,269385
english	and	german,302318
enthusiasm	and	warmth,4627
environment	and	heredity,2623
equipment	and	personnel,101345
error	and	trial,3717
errors	and	omissions,293209
evening	and	morning,58561
evenings	and	sundays,5679
everybody	and	everything,45425
example	and	precept,1971
excitement	and	fatigue,1181
expense	and	time,40949
experiences	and	reactions,8988
eyes	and	face,63115
eyes	and	hair,71366
face	and	figure,23647
factories	and	industries,13006
facts	and	figures,767991
facts	and	techniques,16652
fairness	and	moderation,482
faith	and	life,78863
faith	and	love,195709
fall	and	rise,89618
