,cosine_diffs,binom
0,0.5366687178611755,abandon and fervor
1,0.5951859951019287,ability and age
2,0.7990759015083313,ability and desire
3,0.7419739961624146,ability and strength
4,0.8102540969848633,accessories and aircraft
5,0.8815732598304749,acids and tannin
6,0.7670876383781433,acknowledgment and authentication
7,0.7219523787498474,action and interests
8,0.6749731302261353,action and character
9,0.6265174150466919,actions and feelings
10,0.734184980392456,adaptations and cycles
11,0.7029723525047302,addresses and names
12,0.6290647387504578,adherent and advocate
13,0.6600825190544128,adventure and romance
14,0.6730594038963318,age and day
15,0.8029979467391968,agencies and individuals
16,0.6557360887527466,aggression and hostility
17,0.7486439943313599,agreements and contracts
18,0.6589789390563965,aims and backgrounds
19,0.8506131172180176,aircraft and ships
20,0.6887340545654297,allegory and expressiveness
21,0.6198554635047913,amateurs and collectors
22,0.6914973855018616,amber and froth
23,0.8221226930618286,ambiguities and fears
24,0.7164475917816162,ambiguities and urgencies
25,0.7763785719871521,ambition and poverty
26,0.6118023991584778,ambush and death
27,0.752819836139679,ammunition and guns
28,0.5095800161361694,amusement and pride
29,0.5782168507575989,anger and anxiety
30,0.6620762348175049,anger and fear
31,0.6843928694725037,anger and hatred
32,0.6244527101516724,anger and indignation
33,0.7210218906402588,angst and science
34,0.7446302175521851,anguish and pain
35,0.7628829479217529,animosity and resistance
36,0.6652946472167969,anthropologist and engineer
37,0.831372857093811,anthropology and psychology
38,0.740161120891571,anxiety and hazards
39,0.8242916464805603,appliances and cosmetics
40,0.5758939981460571,apprehension and fear
41,0.7568605542182922,apprenticeship and learning
42,0.7795791029930115,aqueducts and tombs
43,0.7738643884658813,arms and hands
44,0.559026300907135,arms and legs
45,0.6258847713470459,arrows and crosses
46,0.7602676153182983,articulation and establishment
47,0.6448312401771545,arts and crafts
48,0.720661461353302,arts and sciences
49,0.761656641960144,aspirations and dignity
50,0.8515006303787231,assistant and confidante
51,0.623542845249176,attitude and culture
52,0.8308898210525513,attraction and conflict
53,0.7699841260910034,attractions and repulsions
54,0.6514147520065308,aunt and uncle
55,0.6698219776153564,austerity and denial
56,0.8060721158981323,authority and decency
57,0.7499106526374817,background and dancers
58,0.6457231044769287,bale and box
59,0.7450361251831055,bankers and friends
60,0.7172224521636963,bankruptcy and death
61,0.5328489542007446,barnyard and coop
62,0.776381254196167,barriers and stakes
63,0.8100268840789795,beech and horse-chestnut
64,0.8245334029197693,beginnings and greetings
65,0.6851084232330322,bellboy and chambermaid
66,0.7156434059143066,benefactor and sponsor
67,0.8423515558242798,berries and gardens
68,0.6808586716651917,bicep and forearm
69,0.6716833114624023,bitterness and youth
70,0.7174965143203735,bleats and rasps
71,0.805901825428009,bleedings and pills
72,0.8206056952476501,boards and two-by-fours
73,0.7267410159111023,boy and mount
74,0.6956434845924377,cables and communiques
75,0.5972975492477417,cakes and comfort
76,0.7310751676559448,calmness and detachment
77,0.7888522148132324,capture and isolation
78,0.7373215556144714,career and wanderings
79,0.8525257706642151,carpet and tile
80,0.8295102119445801,catholics and non-catholics
81,0.8362433314323425,ceremonies and exhortations
82,0.6793026924133301,chair and floor
83,0.7194960117340088,charters and contracts
84,0.7118886709213257,cherries and pineapple
85,0.7306933403015137,childhood and hobo
86,0.7633567452430725,choir and glee-club
87,0.8646594285964966,chorus and verses
88,0.7509481310844421,clarification and reexamination
89,0.6690491437911987,clarity and flavor
90,0.733832836151123,clash and meeting
